Reservation Number,Third Party Confirmation Number,Room Number,Accommodation Total,Amount Paid,Check in Date,Check out Date,Nights,Room Type,Grand Total,Deposit,Balance Due,Reservation Date,Source,Status,_internal_row_id,Revenue,Name,Property,Listing Name
6009795190252,387259433,364780-0,1390.98,0,2025-02-13,2025-02-15,2,Sage Safari,1571.81,1571.81,1571.81,2025-01-01,Expedia (Channel Collect Booking),checked_out,6009795190252-364780-0,1460.98, , ,Sage Safari
2544217397095,,634080-0,618,777.44,2025-01-31,2025-02-02,2,Bluebonnet,777.44,777.44,0,2025-01-01,Website/Booking Engine,checked_out,2544217397095-634080-0,688, , ,Bluebonnet
3150624283402,,364780-0,898,1093.84,2025-01-24,2025-01-26,2,Sage Safari,1093.84,1093.84,0,2025-01-01,Website/Booking Engine,checked_out,3150624283402-364780-0,968, , ,Sage Safari
7149584695821,,364779-0,449,546.92,2025-01-25,2025-01-26,1,Lantana Dome,546.92,546.92,546.92,2025-01-01,Website/Booking Engine,checked_out,7149584695821-364779-0,484, , ,Lantana Dome
6870195792491,,364776-0,279,354.82,2025-01-07,2025-01-08,1,Spyglass,354.82,354.82,0,2025-01-01,Website/Booking Engine,checked_out,6870195792491-364776-0,314, , ,Spyglass
9123002411309,HM428FBHM5,364776-0,275,0,2025-01-05,2025-01-06,1,Spyglass,310.75,0,310.75,2025-01-01,Airbnb (API) (Hotel Collect Booking),checked_out,9123002411309-364776-0,275, , ,Spyglass
2006339518729,,528745-0,129,185.32,2025-01-05,2025-01-06,1,Pecan Haus,185.32,185.32,0,2025-01-01,Website/Booking Engine,checked_out,2006339518729-528745-0,164, , ,Pecan Haus
4127776670205,,364780-0,178,240.69,2025-01-05,2025-01-06,1,Sage Safari,240.69,240.69,0,2025-01-01,Website/Booking Engine,checked_out,4127776670205-364780-0,213, , ,Sage Safari
1281235226848,,364782-0,355,440.7,2025-01-01,2025-01-02,1,Buckeye Bungalow,440.7,440.7,0,2025-01-01,Website/Booking Engine,checked_out,1281235226848-364782-0,390, , ,Buckeye Bungalow
9111388811473,,364776-0,409,501.72,2025-01-01,2025-01-02,1,Spyglass,501.72,501.72,0,2025-01-01,Website/Booking Engine,checked_out,9111388811473-364776-0,444, , ,Spyglass
7385907333876,,364780-0,357,442.96,2025-01-04,2025-01-05,1,Sage Safari,442.96,442.96,0,2025-01-02,Website/Booking Engine,checked_out,7385907333876-364780-0,392, , ,Sage Safari
3554462541502,HMTCYJTT22,364781-0,305,0,2025-02-26,2025-02-27,1,Monarch,344.65,0,344.65,2025-01-02,Airbnb (API) (Hotel Collect Booking),checked_out,3554462541502-364781-0,305, , ,Monarch
8335763962739,,490007-0,279,354.82,2025-01-24,2025-01-25,1,Cedar Haus,354.82,354.82,0,2025-01-02,Website/Booking Engine,checked_out,8335763962739-490007-0,314, , ,Cedar Haus
8229074709690,,364773-0,239,309.62,2025-01-13,2025-01-14,1,Walnut House,309.62,309.62,0,2025-01-02,Website/Booking Engine,checked_out,8229074709690-364773-0,274, , ,Walnut House
6401118789308,,364773-0,549,659.92,2025-01-12,2025-01-13,1,Walnut House,659.92,659.92,0,2025-01-02,Website/Booking Engine,checked_out,6401118789308-364773-0,584, , ,Walnut House
5569555833199,,364779-0,417,550.31,2025-01-05,2025-01-07,2,Lantana Dome,550.31,550.31,0,2025-01-02,Website/Booking Engine,checked_out,5569555833199-364779-0,487, , ,Lantana Dome
8652984504964,,364776-0,279,354.82,2025-01-06,2025-01-07,1,Spyglass,354.82,354.82,0,2025-01-02,Website/Booking Engine,checked_out,8652984504964-364776-0,314, , ,Spyglass
8911930703377,HMYXZK5RE8,364782-0,409,0,2025-01-04,2025-01-05,1,Buckeye Bungalow,462.17,0,462.17,2025-01-02,Airbnb (API) (Hotel Collect Booking),checked_out,8911930703377-364782-0,409, , ,Buckeye Bungalow
3007261356405,HMKK83NPBA,364781-0,525,0,2025-01-04,2025-01-05,1,Monarch,593.25,0,593.25,2025-01-02,Airbnb (API) (Hotel Collect Booking),checked_out,3007261356405-364781-0,525, , ,Monarch
8148183629836,,364779-0,296,374.03,2025-01-02,2025-01-03,1,Lantana Dome,374.03,374.03,0,2025-01-02,Website/Booking Engine,checked_out,8148183629836-364779-0,331, , ,Lantana Dome
1804946867826,HM2CNZ3FHE,364779-0,678,0,2025-01-03,2025-01-05,2,Lantana Dome,766.14,0,766.14,2025-01-02,Airbnb (API) (Hotel Collect Booking),checked_out,1804946867826-364779-0,678, , ,Lantana Dome
5769727569999,HM3TYQ4BX4,364776-0,525,0,2025-01-04,2025-01-05,1,Spyglass,593.25,0,593.25,2025-01-02,Airbnb (API) (Hotel Collect Booking),checked_out,5769727569999-364776-0,525, , ,Spyglass
2675420230581,,634080-0,1327,1618.16,2025-03-07,2025-03-10,3,Bluebonnet,1618.16,1618.16,0,2025-01-03,Website/Booking Engine,checked_out,2675420230581-634080-0,1432, , ,Bluebonnet
4286569355555,,364781-0,658,822.64,2025-02-10,2025-02-12,2,Monarch,822.64,822.64,0,2025-01-03,Website/Booking Engine,checked_out,4286569355555-364781-0,728, , ,Monarch
