Reservation Number,Third Party Confirmation Number,Room Number,Accommodation Total,Amount Paid,Check in Date,Check out Date,Nights,Room Type,Grand Total,Deposit,Balance Due,Reservation Date,Source,Status,_internal_row_id,Revenue,Name,Property,Listing Name
7480260406389,9978,633312-2,0,0,2024-09-22,2024-09-24,2,Spyglass Pet,0,0,0,2024-08-01,Reservation Import,checked_out,7480260406389-633312-2,70, , ,Spyglass Pet
1279657315191,9972,633308-5,0,0,2024-08-03,2024-08-05,2,Greenhouse Pet,0,0,0,2024-08-01,Reservation Import,confirmed,1279657315191-633308-5,70, , ,Greenhouse Pet
4603477847128,9976,633312-5,0,0,2024-08-23,2024-08-25,2,Spyglass Pet,0,0,0,2024-08-01,Reservation Import,confirmed,4603477847128-633312-5,70, , ,Spyglass Pet
4963893596310,9979,633308-1,0,0,2024-09-11,2024-09-13,2,Greenhouse Pet,0,0,0,2024-08-01,Reservation Import,checked_out,4963893596310-633308-1,70, , ,Greenhouse Pet
2941676710335,9980,633308-0,0,0,2024-08-18,2024-08-21,3,Greenhouse Pet,0,0,0,2024-08-01,Reservation Import,checked_out,2941676710335-633308-0,105, , ,Greenhouse Pet
7768605977559,9983,633310-6,0,0,2024-08-30,2024-09-01,2,Spyglass,0,0,0,2024-08-01,Reservation Import,checked_out,7768605977559-633310-6,70, , ,Spyglass
7915507142750,9951,633306-1,0,0,2024-08-01,2024-08-02,1,Greenhouse,0,0,0,2024-08-01,Reservation Import,checked_out,7915507142750-633306-1,35, , ,Greenhouse
3350062520567,9965,633306-2,0,0,2024-08-02,2024-08-05,3,Greenhouse,0,0,0,2024-08-01,Reservation Import,checked_out,3350062520567-633306-2,105, , ,Greenhouse
2851077584239,9969,633310-0,0,0,2024-08-03,2024-08-05,2,Spyglass,0,0,0,2024-08-01,Reservation Import,checked_out,2851077584239-633310-0,70, , ,Spyglass
1502961309926,9970,633310-7,0,0,2024-08-03,2024-08-04,1,Spyglass,0,0,0,2024-08-01,Reservation Import,checked_out,1502961309926-633310-7,35, , ,Spyglass
8358196361699,9971,633308-0,0,0,2024-08-02,2024-08-04,2,Greenhouse Pet,0,0,0,2024-08-01,Reservation Import,checked_out,8358196361699-633308-0,70, , ,Greenhouse Pet
3159329291213,9973,633310-6,0,0,2024-08-09,2024-08-11,2,Spyglass,0,0,0,2024-08-01,Reservation Import,checked_out,3159329291213-633310-6,70, , ,Spyglass
8763673418283,9975,633306-2,0,0,2024-08-23,2024-08-25,2,Greenhouse,0,0,0,2024-08-01,Reservation Import,checked_out,8763673418283-633306-2,70, , ,Greenhouse
6508835152874,9986,633308-0,0,0,2024-08-16,2024-08-18,2,Greenhouse Pet,0,0,0,2024-08-02,Reservation Import,checked_out,6508835152874-633308-0,70, , ,Greenhouse Pet
2346002181132,10000,633312-2,412.1,1359.74,2024-09-29,2024-10-01,2,Spyglass Pet,412.1,947.64,-947.64,2024-08-03,Reservation Import,confirmed,2346002181132-633312-2,482.1, , ,Spyglass Pet
4594905487691,10032,633312-3,754.3,718.98,2024-12-02,2024-12-04,2,Spyglass Pet,786.82,574.52,67.84,2024-08-05,Reservation Import,checked_out,4594905487691-633312-3,824.3, , ,Spyglass Pet
9837549587300,10028,633312-5,0,1030.32,2024-08-30,2024-09-02,3,Spyglass Pet,0,0,-1030.32,2024-08-05,Reservation Import,confirmed,9837549587300-633312-5,105, , ,Spyglass Pet
9932772535843,10033,633310-6,241.11,849.55,2024-09-23,2024-09-25,2,Spyglass,241.11,608.44,-608.44,2024-08-05,Reservation Import,confirmed,9932772535843-633310-6,311.11, , ,Spyglass
9978981660657,10026,633306-3,1040,1084.82,2024-09-15,2024-09-18,3,Greenhouse,1084.82,791.82,0,2024-08-05,Reservation Import,checked_out,9978981660657-633306-3,1145, , ,Greenhouse
6746839909282,10059,633310-2,1001,1044.02,2024-12-02,2024-12-05,3,Spyglass,1044.02,760.02,0,2024-08-07,Reservation Import,checked_out,6746839909282-633310-2,1106, , ,Spyglass
6614562176800,10084,633306-4,290.31,1072.59,2024-09-20,2024-09-22,2,Greenhouse,290.31,782.28,-782.28,2024-08-08,Reservation Import,confirmed,6614562176800-633306-4,360.31, , ,Greenhouse
4739511316372,HM4NMPW928,633306-0,460,487.6,2024-08-31,2024-09-02,2,Greenhouse,487.6,487.6,0,2024-08-08,Airbnb (API),checked_out,4739511316372-633306-0,530, , ,Greenhouse
8294824334888,10074,633306-1,656,695.36,2024-09-14,2024-09-16,2,Greenhouse,695.36,695.36,0,2024-08-08,Reservation Import,checked_out,8294824334888-633306-1,726, , ,Greenhouse
9698393086198,10079,633306-8,0,0,2024-08-30,2024-09-01,2,Greenhouse,0,0,0,2024-08-08,Reservation Import,checked_out,9698393086198-633306-8,70, , ,Greenhouse
1886737742583,10088,633312-0,0,0,2024-09-02,2024-09-03,1,Spyglass Pet,0,0,0,2024-08-08,Reservation Import,checked_out,1886737742583-633312-0,35, , ,Spyglass Pet
8716310384234,10105,633310-6,345.5,1322.82,2024-09-27,2024-09-29,2,Spyglass,345.5,977.32,-977.32,2024-08-09,Reservation Import,confirmed,8716310384234-633310-6,415.5, , ,Spyglass
3910192276858,10129,633306-2,780.53,819.89,2024-09-21,2024-09-23,2,Greenhouse,819.89,695.36,0,2024-08-10,Reservation Import,checked_out,3910192276858-633306-2,850.53, , ,Greenhouse
7293578226952,10194,633312-2,794,841.64,2024-09-12,2024-09-14,2,Spyglass Pet,841.64,841.64,0,2024-08-14,Reservation Import,checked_out,7293578226952-633312-2,864, , ,Spyglass Pet
2530580461664,10195,633311-0,817,866.02,2024-09-13,2024-09-15,2,Spyglass ADA,866.02,866.02,0,2024-08-14,Reservation Import,checked_out,2530580461664-633311-0,887, , ,Spyglass ADA
6777670377452,10191,633312-2,0,0,2024-09-06,2024-09-08,2,Spyglass Pet,0,0,0,2024-08-14,Reservation Import,checked_out,6777670377452-633312-2,70, , ,Spyglass Pet
5319742758303,10193,633306-7,0,0,2024-08-31,2024-09-01,1,Greenhouse,0,0,0,2024-08-14,Reservation Import,checked_out,5319742758303-633306-7,35, , ,Greenhouse
3950013382150,10212,633310-1,538,570.28,2024-09-15,2024-09-17,2,Spyglass,570.28,570.28,0,2024-08-15,Reservation Import,checked_out,3950013382150-633310-1,608, , ,Spyglass
3623569463975,10214,633312-4,0,570.28,2024-09-15,2024-09-17,2,Spyglass Pet,0,424,-570.28,2024-08-15,Reservation Import,confirmed,3623569463975-633312-4,70, , ,Spyglass Pet
3833882904288,10213,633312-4,0,665.68,2024-09-12,2024-09-14,2,Spyglass Pet,0,424,-665.68,2024-08-15,Reservation Import,confirmed,3833882904288-633312-4,70, , ,Spyglass Pet
9733274028341,10216,633308-2,0,0,2024-08-16,2024-08-18,2,Greenhouse Pet,0,0,0,2024-08-15,Reservation Import,checked_out,9733274028341-633308-2,70, , ,Greenhouse Pet
4103389702288,10252,633308-4,776.9,819.38,2024-12-09,2024-12-12,3,Greenhouse Pet,819.38,750.48,0,2024-08-16,Reservation Import,checked_out,4103389702288-633308-4,881.9, , ,Greenhouse Pet
2891103399058,10227,633306-6,2357.9,2495.26,2024-11-08,2024-11-12,4,Greenhouse,2495.26,2426.36,0,2024-08-16,Reservation Import,checked_out,2891103399058-633306-6,2497.9, , ,Greenhouse
5357813891327,10241,633312-4,0,0,2024-08-16,2024-08-18,2,Spyglass Pet,0,0,0,2024-08-16,Reservation Import,confirmed,5357813891327-633312-4,70, , ,Spyglass Pet
8282253912460,10240,633312-3,0,0,2024-08-16,2024-08-18,2,Spyglass Pet,0,0,0,2024-08-16,Reservation Import,confirmed,8282253912460-633312-3,70, , ,Spyglass Pet
1670326998709,HMHF92CHPZ,633312-4,0,824.68,2024-10-11,2024-10-13,2,Spyglass Pet,0,778,-824.68,2024-08-16,Airbnb (API),confirmed,1670326998709-633312-4,70, , ,Spyglass Pet
8117709293025,10236,633312-5,0,0,2024-08-16,2024-08-18,2,Spyglass Pet,0,0,0,2024-08-16,Reservation Import,confirmed,8117709293025-633312-5,70, , ,Spyglass Pet
1088564134407,10264,633310-7,68.9,596.78,2024-09-16,2024-09-18,2,Spyglass,68.9,527.88,-527.88,2024-08-16,Reservation Import,confirmed,1088564134407-633310-7,138.9, , ,Spyglass
7378667656877,10237,633310-6,0,0,2024-08-16,2024-08-18,2,Spyglass,0,0,0,2024-08-16,Reservation Import,checked_out,7378667656877-633310-6,70, , ,Spyglass
8638023167731,10238,633310-7,0,0,2024-08-16,2024-08-18,2,Spyglass,0,0,0,2024-08-16,Reservation Import,checked_out,8638023167731-633310-7,70, , ,Spyglass
1299748201739,10275,633306-8,913.9,964.6,2025-01-18,2025-01-20,2,Greenhouse,964.6,895.7,0,2024-08-17,Reservation Import,checked_out,1299748201739-633306-8,983.9, , ,Greenhouse
2368391492370,10274,633312-0,746.9,787.58,2024-09-20,2024-09-22,2,Spyglass Pet,787.58,718.68,0,2024-08-17,Reservation Import,checked_out,2368391492370-633312-0,816.9, , ,Spyglass Pet
7675437502192,10273,633312-1,746.9,787.58,2024-09-20,2024-09-22,2,Spyglass Pet,787.58,718.68,0,2024-08-17,Reservation Import,checked_out,7675437502192-633312-1,816.9, , ,Spyglass Pet
1561719675616,10272,633308-2,746.9,787.58,2024-09-20,2024-09-22,2,Greenhouse Pet,787.58,718.68,0,2024-08-17,Reservation Import,checked_out,1561719675616-633308-2,816.9, , ,Greenhouse Pet
3045666947025,10282,633312-3,68.9,1004.88,2024-10-11,2024-10-13,2,Spyglass Pet,68.9,935.98,-935.98,2024-08-17,Reservation Import,confirmed,3045666947025-633312-3,138.9, , ,Spyglass Pet
3234665993674,10284,633312-0,68.9,639.18,2024-09-15,2024-09-18,3,Spyglass Pet,68.9,570.28,-570.28,2024-08-17,Reservation Import,confirmed,3234665993674-633312-0,173.9, , ,Spyglass Pet
