Date	Day	Suite BIG (1BR/1BA)	Suite SMALL (1BR/1BA)	Villa Game (2BR/2BA)	Premium Villa (2BR/2BA)	Deluxe Villa (2BR/1BA)	Premier Villa (3BR/3BA)	J.MT. Villa (3BR/2BA)	House (6BR/4BA)
3/8/2027	Monday	505	384	881	799	629	1167	1096	1686
3/9/2027	Tuesday	505	384	881	799	629	1167	1096	1686
3/10/2027	Wednesday	525	399	913	828	653	1207	1132	1746
3/11/2027	Thursday	618	480	1074	975	777	1405	1318	2138
3/12/2027	Friday	618	480	1074	975	777	1405	1318	2138
3/13/2027	Saturday	644	501	1117	1014	810	1456	1367	2223
3/14/2027	Sunday	537	410	935	848	670	1233	1157	1786
3/15/2027	Monday	459	349	801	726	572	1061	996	1532
3/16/2027	Tuesday	459	349	801	726	572	1061	996	1532
3/17/2027	Wednesday	477	363	830	753	594	1097	1029	1587
3/18/2027	Thursday	562	436	976	886	706	1277	1198	1944
3/19/2027	Friday	562	436	976	886	706	1277	1198	1944
3/20/2027	Saturday	585	455	1015	922	736	1324	1243	2021
3/21/2027	Sunday	488	373	850	771	609	1121	1052	1624
3/22/2027	Monday	459	349	801	726	572	1061	996	1532
3/23/2027	Tuesday	459	349	801	726	572	1061	996	1532
3/24/2027	Wednesday	477	363	830	753	594	1097	1029	1587
3/25/2027	Thursday	562	436	976	886	706	1277	1198	1944
3/26/2027	Friday	618	480	1074	975	777	1405	1318	2138
3/27/2027	Saturday	644	501	1117	1014	810	1456	1367	2223
3/28/2027	Sunday	537	410	935	848	670	1233	1157	1786
3/29/2027	Monday	505	384	881	799	629	1167	1096	1686
3/30/2027	Tuesday	459	349	801	726	572	1061	996	1532
3/31/2027	Wednesday	477	363	830	753	594	1097	1029	1587
4/1/2027	Thursday	657	517	1127	1035	830	1449	1418	2261
4/2/2027	Friday	756	595	1240	1139	913	1521	1489	2374
4/3/2027	Saturday	782	616	1282	1177	945	1573	1538	2454
4/4/2027	Sunday	670	522	1102	1011	806	1359	1332	2022
4/5/2027	Monday	555	429	954	874	696	1234	1211	1835
4/6/2027	Tuesday	555	429	954	874	696	1234	1211	1835
4/7/2027	Wednesday	572	444	983	901	718	1270	1246	1890
4/8/2027	Thursday	657	517	1127	1035	830	1449	1418	2261
4/9/2027	Friday	657	517	1127	1035	830	1449	1418	2261
4/10/2027	Saturday	680	536	1165	1070	859	1498	1465	2337
4/11/2027	Sunday	583	454	1002	919	733	1294	1269	1926
4/12/2027	Monday	555	429	954	874	696	1234	1211	1835
4/13/2027	Tuesday	555	429	954	874	696	1234	1211	1835
4/14/2027	Wednesday	572	444	983	901	718	1270	1246	1890
4/15/2027	Thursday	657	517	1127	1035	830	1449	1418	2261
4/16/2027	Friday	657	517	1127	1035	830	1449	1418	2261
4/17/2027	Saturday	680	536	1165	1070	859	1498	1465	2337
4/18/2027	Sunday	583	454	1002	919	733	1294	1269	1926
4/19/2027	Monday	555	429	954	874	696	1234	1211	1835
4/20/2027	Tuesday	555	429	954	874	696	1234	1211	1835
4/21/2027	Wednesday	572	444	983	901	718	1270	1246	1890
4/22/2027	Thursday	657	517	1127	1035	830	1449	1418	2261
4/23/2027	Friday	657	517	1127	1035	830	1449	1418	2261
4/24/2027	Saturday	680	536	1165	1070	859	1498	1465	2337
4/25/2027	Sunday	583	454	1002	919	733	1294	1269	1926
4/26/2027	Monday	555	429	954	874	696	1234	1211	1835
4/27/2027	Tuesday	555	429	954	874	696	1234	1211	1835
4/28/2027	Wednesday	572	444	983	901	718	1270	1246	1890
4/29/2027	Thursday	657	517	1127	1035	830	1449	1418	2261
4/30/2027	Friday	657	517	1127	1035	830	1449	1418	2261
5/1/2027	Saturday	680	536	1165	1070	859	1498	1465	2337
5/2/2027	Sunday	583	454	1002	919	733	1294	1269	1926
5/3/2027	Monday	531	409	923	838	666	1220	1163	1835
5/4/2027	Tuesday	531	409	923	838	666	1220	1163	1835
5/5/2027	Wednesday	548	424	952	864	688	1256	1198	1890
5/6/2027	Thursday	634	496	1097	998	800	1437	1370	2261
5/7/2027	Friday	634	496	1097	998	800	1437	1370	2261
5/8/2027	Saturday	656	516	1136	1033	830	1485	1417	2337
5/9/2027	Sunday	559	434	971	882	704	1280	1221	1926
5/10/2027	Monday	531	409	923	838	666	1220	1163	1835
5/11/2027	Tuesday	531	409	923	838	666	1220	1163	1835
5/12/2027	Wednesday	548	424	952	864	688	1256	1198	1890
5/13/2027	Thursday	634	496	1097	998	800	1437	1370	2261
5/14/2027	Friday	634	496	1097	998	800	1437	1370	2261
5/15/2027	Saturday	656	516	1136	1033	830	1485	1417	2337
5/16/2027	Sunday	559	434	971	882	704	1280	1221	1926
5/17/2027	Monday	531	409	923	838	666	1220	1163	1835
5/18/2027	Tuesday	531	409	923	838	666	1220	1163	1835
5/19/2027	Wednesday	548	424	952	864	688	1256	1198	1890
5/20/2027	Thursday	634	496	1097	998	800	1437	1370	2261
5/21/2027	Friday	634	496	1097	998	800	1437	1370	2261
5/22/2027	Saturday	656	516	1136	1033	830	1485	1417	2337
5/23/2027	Sunday	559	434	971	882	704	1280	1221	1926
5/24/2027	Monday	531	409	923	838	666	1220	1163	1835
5/25/2027	Tuesday	531	409	923	838	666	1220	1163	1835
5/26/2027	Wednesday	548	424	952	864	688	1256	1198	1890
5/27/2027	Thursday	634	496	1097	998	800	1437	1370	2261
5/28/2027	Friday	761	595	1316	1198	960	1724	1644	2713
5/29/2027	Saturday	787	619	1363	1240	996	1782	1700	2804
5/30/2027	Sunday	671	521	1165	1058	845	1536	1465	2311
5/31/2027	Monday	580	443	1010	916	725	1297	1195	1839
6/1/2027	Tuesday	483	369	842	763	604	1081	996	1532
6/2/2027	Wednesday	501	383	871	790	626	1116	1029	1587
6/3/2027	Thursday	586	456	1016	923	738	1295	1198	1944
6/4/2027	Friday	586	456	1016	923	738	1295	1198	1944
6/5/2027	Saturday	609	475	1055	959	768	1343	1243	2021
6/6/2027	Sunday	512	393	890	808	641	1140	1052	1624
6/7/2027	Monday	483	369	842	763	604	1081	996	1532
6/8/2027	Tuesday	483	369	842	763	604	1081	996	1532
6/9/2027	Wednesday	501	383	871	790	626	1116	1029	1587
6/10/2027	Thursday	586	456	1016	923	738	1295	1198	1944
6/11/2027	Friday	586	456	1016	923	738	1295	1198	1944
6/12/2027	Saturday	609	475	1055	959	768	1343	1243	2021
6/13/2027	Sunday	512	393	890	808	641	1140	1052	1624
6/14/2027	Monday	483	369	842	763	604	1081	996	1532
6/15/2027	Tuesday	483	369	842	763	604	1081	996	1532
6/16/2027	Wednesday	501	383	871	790	626	1116	1029	1587
6/17/2027	Thursday	586	456	1016	923	738	1295	1198	1944
6/18/2027	Friday	586	456	1016	923	738	1295	1198	1944
6/19/2027	Saturday	609	475	1055	959	768	1343	1243	2021
6/20/2027	Sunday	512	393	890	808	641	1140	1052	1624
6/21/2027	Monday	483	369	842	763	604	1081	996	1532
6/22/2027	Tuesday	483	369	842	763	604	1081	996	1532
6/23/2027	Wednesday	501	383	871	790	626	1116	1029	1587
6/24/2027	Thursday	586	456	1016	923	738	1295	1198	1944
6/25/2027	Friday	586	456	1016	923	738	1295	1198	1944
6/26/2027	Saturday	609	475	1055	959	768	1343	1243	2021
6/27/2027	Sunday	512	393	890	808	641	1140	1052	1624
