Date,Day of the week,Shaka/Chisum/Kingfisher,Notes
1/4/2027,Mon,308,
1/5/2027,Tue,308,
1/6/2027,Wed,308,
1/7/2027,Thu,477,
1/8/2027,Fri,674,
1/9/2027,Sat,674,
1/10/2027,Sun,477,
1/11/2027,Mon,308,
1/12/2027,Tue,308,
1/13/2027,Wed,308,
1/14/2027,Thu,477,
1/15/2027,Fri,909,MLK
1/16/2027,Sat,909,MLK
1/17/2027,Sun,644,MLK
1/18/2027,Mon,416,MLK
1/19/2027,Tue,308,
1/20/2027,Wed,308,
1/21/2027,Thu,477,
1/22/2027,Fri,674,
1/23/2027,Sat,674,
1/24/2027,Sun,477,
1/25/2027,Mon,308,
1/26/2027,Tue,308,
1/27/2027,Wed,308,
1/28/2027,Thu,477,
1/29/2027,Fri,674,
1/30/2027,Sat,674,
1/31/2027,Sun,477,
2/1/2027,Mon,334,
2/2/2027,Tue,334,
2/3/2027,Wed,334,
2/4/2027,Thu,517,
2/5/2027,Fri,718,
2/6/2027,Sat,718,
2/7/2027,Sun,517,
2/8/2027,Mon,334,
2/9/2027,Tue,334,
2/10/2027,Wed,334,
2/11/2027,Thu,700,
2/12/2027,Fri,1364,Valentines
2/13/2027,Sat,1364,Valentines
2/14/2027,Sun,1149,Valentines
2/15/2027,Mon,749,Presidents Day
2/16/2027,Tue,400,
2/17/2027,Wed,400,
2/18/2027,Thu,718,
2/19/2027,Fri,1049,
2/20/2027,Sat,1049,
2/21/2027,Sun,718,
2/22/2027,Mon,334,
2/23/2027,Tue,334,
2/24/2027,Wed,334,
2/25/2027,Thu,517,
2/26/2027,Fri,718,
2/27/2027,Sat,718,
2/28/2027,Sun,517,
3/1/2027,Mon,360,
3/2/2027,Tue,360,
3/3/2027,Wed,360,
3/4/2027,Thu,555,
3/5/2027,Fri,761,
3/6/2027,Sat,837,farmer's market
3/7/2027,Sun,555,
3/8/2027,Mon,360,
3/9/2027,Tue,360,
3/10/2027,Wed,360,
3/11/2027,Thu,829,Spring Break
3/12/2027,Fri,1049,Spring Break
3/13/2027,Sat,1049,Spring Break
3/14/2027,Sun,829,Spring Break
3/15/2027,Mon,529,Spring Break
3/16/2027,Tue,529,Spring Break
3/17/2027,Wed,529,Spring Break
3/18/2027,Thu,829,Spring Break
3/19/2027,Fri,1049,Spring Break
3/20/2027,Sat,1049,Spring Break
3/21/2027,Sun,829,Spring Break
3/22/2027,Mon,360,
3/23/2027,Tue,360,
3/24/2027,Wed,360,
3/25/2027,Thu,555,
3/26/2027,Fri,761,
3/27/2027,Sat,761,
3/28/2027,Sun,555,
3/29/2027,Mon,360,
3/30/2027,Tue,360,
3/31/2027,Wed,360,
4/1/2027,Thu,670,
4/2/2027,Fri,980,
4/3/2027,Sat,1078,farmer's market
4/4/2027,Sun,670,
4/5/2027,Mon,464,
4/6/2027,Tue,464,
4/7/2027,Wed,464,
4/8/2027,Thu,670,
4/9/2027,Fri,980,
4/10/2027,Sat,980,
4/11/2027,Sun,670,
4/12/2027,Mon,464,
4/13/2027,Tue,464,
4/14/2027,Wed,464,
4/15/2027,Thu,670,
4/16/2027,Fri,980,
4/17/2027,Sat,980,
4/18/2027,Sun,670,
4/19/2027,Mon,464,
4/20/2027,Tue,464,
4/21/2027,Wed,464,
4/22/2027,Thu,670,
4/23/2027,Fri,980,
4/24/2027,Sat,980,
4/25/2027,Sun,670,
4/26/2027,Mon,464,
4/27/2027,Tue,464,
4/28/2027,Wed,464,
4/29/2027,Thu,670,
4/30/2027,Fri,980,
5/1/2027,Sat,1078,farmer's market
5/2/2027,Sun,670,
5/3/2027,Mon,464,
5/4/2027,Tue,464,
5/5/2027,Wed,464,
5/6/2027,Thu,670,
5/7/2027,Fri,980,
5/8/2027,Sat,980,
5/9/2027,Sun,670,
5/10/2027,Mon,464,
5/11/2027,Tue,464,
5/12/2027,Wed,464,
5/13/2027,Thu,670,
5/14/2027,Fri,980,
5/15/2027,Sat,980,
5/16/2027,Sun,670,
5/17/2027,Mon,464,
5/18/2027,Tue,464,
5/19/2027,Wed,464,
5/20/2027,Thu,670,
5/21/2027,Fri,980,
5/22/2027,Sat,980,
5/23/2027,Sun,670,
5/24/2027,Mon,464,
5/25/2027,Tue,464,
5/26/2027,Wed,464,
5/27/2027,Thu,670,
5/28/2027,Fri,1274,Memorial Day
5/29/2027,Sat,1274,Memorial Day
5/30/2027,Sun,770,Memorial Day
5/31/2027,Mon,603,Memorial Day
6/1/2027,Tue,464,
6/2/2027,Wed,464,
6/3/2027,Thu,833,
6/4/2027,Fri,1248,
6/5/2027,Sat,1373,farmer's market
6/6/2027,Sun,833,
6/7/2027,Mon,546,
6/8/2027,Tue,546,
6/9/2027,Wed,546,
6/10/2027,Thu,833,
6/11/2027,Fri,1248,
6/12/2027,Sat,1248,
6/13/2027,Sun,833,
6/14/2027,Mon,546,
6/15/2027,Tue,546,
6/16/2027,Wed,546,
6/17/2027,Thu,833,
6/18/2027,Fri,1248,
6/19/2027,Sat,1248,
6/20/2027,Sun,833,
6/21/2027,Mon,546,
6/22/2027,Tue,546,
6/23/2027,Wed,546,
6/24/2027,Thu,833,
6/25/2027,Fri,1248,
6/26/2027,Sat,1248,
6/27/2027,Sun,833,
6/28/2027,Mon,546,
6/29/2027,Tue,546,
6/30/2027,Wed,546,
7/1/2027,Thu,919,4th of July
7/2/2027,Fri,1442,4th of July
7/3/2027,Sat,1442,4th of July
7/4/2027,Sun,919,4th of July
7/5/2027,Mon,573,
7/6/2027,Tue,573,
7/7/2027,Wed,573,
7/8/2027,Thu,875,
7/9/2027,Fri,1311,
7/10/2027,Sat,1311,
7/11/2027,Sun,875,
7/12/2027,Mon,573,
7/13/2027,Tue,573,
7/14/2027,Wed,573,
7/15/2027,Thu,875,
7/16/2027,Fri,1311,
7/17/2027,Sat,1311,
7/18/2027,Sun,875,
7/19/2027,Mon,573,
7/20/2027,Tue,573,
7/21/2027,Wed,573,
7/22/2027,Thu,875,
7/23/2027,Fri,1311,
7/24/2027,Sat,1311,
7/25/2027,Sun,875,
7/26/2027,Mon,573,
7/27/2027,Tue,573,
7/28/2027,Wed,573,
7/29/2027,Thu,875,
7/30/2027,Fri,1311,
7/31/2027,Sat,1311,
8/1/2027,Sun,875,
8/2/2027,Mon,520,
8/3/2027,Tue,520,
8/4/2027,Wed,520,
8/5/2027,Thu,794,
