"Date","Daily Rate"
"2023-07-01","183.17"
"2023-08-01","177.45"
"2023-09-01","174.9"
"2023-10-01","174.06"
"2023-11-01","154"
"2023-12-01","159.56"
"2024-01-01","140.45"
"2024-02-01","149.95"
"2024-03-01","153.94"
"2024-04-01","145.32"
"2024-05-01","162.89"
"2024-06-01","168.69"
"2024-07-01","175.49"
"2024-08-01","173.14"
"2024-09-01","171.7"
"2024-10-01","162.6"
"2024-11-01","146.62"
"2024-12-01","154.13"
"2025-01-01","145.36"
"2025-02-01","150.09"
"2025-03-01","153.22"
"2025-04-01","141.46"
"2025-05-01","168.29"
"2025-06-01","180.21"
"2025-07-01","179.6"
"2025-08-01","175.95"
"2025-09-01","169"
"2025-10-01","158.32"
"2025-11-01","138.9"
"2025-12-01","159.29"
"2026-01-01","145.58"
"2026-02-01","139.03"
"2026-03-01","137.62"
"2026-04-01","139.97"
"2026-05-01","160.96"
"2026-06-01","171.18"
