"Date","Occupancy"
"2023-07-01","84.16"
"2023-08-01","76.18"
"2023-09-01","74.85"
"2023-10-01","63.43"
"2023-11-01","42.75"
"2023-12-01","57.68"
"2024-01-01","40.6"
"2024-02-01","47.85"
"2024-03-01","51.97"
"2024-04-01","36.21"
"2024-05-01","68.05"
"2024-06-01","73.68"
"2024-07-01","75.72"
"2024-08-01","74.78"
"2024-09-01","68.84"
"2024-10-01","62.33"
"2024-11-01","46.36"
"2024-12-01","61.62"
"2025-01-01","50.21"
"2025-02-01","51.37"
"2025-03-01","54.75"
"2025-04-01","40.52"
"2025-05-01","64.31"
"2025-06-01","71.57"
"2025-07-01","78.59"
"2025-08-01","76.63"
"2025-09-01","73.37"
"2025-10-01","62.67"
"2025-11-01","41.1"
"2025-12-01","54.95"
"2026-01-01","41.85"
"2026-02-01","42.95"
"2026-03-01","55.59"
"2026-04-01","46.71"
"2026-05-01","63.68"
"2026-06-01","70.14"
