"Date","Listing Days Booked","Booked Listings"
"2023-07-01","2221","94"
"2023-08-01","2037","95"
"2023-09-01","1979","94"
"2023-10-01","1568","88"
"2023-11-01","878","77"
"2023-12-01","1310","80"
"2024-01-01","905","68"
"2024-02-01","778","62"
"2024-03-01","991","69"
"2024-04-01","591","52"
"2024-05-01","1653","98"
"2024-06-01","2309","116"
"2024-07-01","2713","126"
"2024-08-01","2690","125"
"2024-09-01","2494","127"
"2024-10-01","2125","120"
"2024-11-01","1210","89"
"2024-12-01","1660","100"
"2025-01-01","1428","92"
"2025-02-01","1141","89"
"2025-03-01","1406","94"
"2025-04-01","959","73"
"2025-05-01","1804","111"
"2025-06-01","2225","116"
"2025-07-01","2713","119"
"2025-08-01","2593","120"
"2025-09-01","2303","109"
"2025-10-01","1984","116"
"2025-11-01","1085","92"
"2025-12-01","1477","100"
"2026-01-01","1215","97"
"2026-02-01","990","80"
"2026-03-01","1437","93"
"2026-04-01","1021","80"
"2026-05-01","1685","108"
"2026-06-01","2274","122"
