"Date","Length of Stay"
"2023-07-01",""
"2023-08-01",""
"2023-09-01",""
"2023-10-01",""
"2023-11-01",""
"2023-12-01",""
"2024-01-01",""
"2024-02-01",""
"2024-03-01",""
"2024-04-01",""
"2024-05-01",""
"2024-06-01","3.72"
"2024-07-01","3.82"
"2024-08-01","3.58"
"2024-09-01","3.58"
"2024-10-01","3.34"
"2024-11-01","4.15"
"2024-12-01","4.08"
"2025-01-01","3.63"
"2025-02-01","3.43"
"2025-03-01","3.96"
"2025-04-01","3.89"
"2025-05-01","3.28"
"2025-06-01","3.49"
"2025-07-01","3.94"
"2025-08-01","3.68"
"2025-09-01","3.03"
"2025-10-01","3.37"
"2025-11-01","4.36"
"2025-12-01","3.55"
"2026-01-01","4.37"
"2026-02-01","4.73"
"2026-03-01","3.8"
"2026-04-01","3.42"
"2026-05-01","3.2"
"2026-06-01","3.47"
