"Date","Average RevPAR"
"2023-07-01","154.16"
"2023-08-01","135.18"
"2023-09-01","130.91"
"2023-10-01","110.4"
"2023-11-01","65.83"
"2023-12-01","92.04"
"2024-01-01","57.02"
"2024-02-01","71.75"
"2024-03-01","80"
"2024-04-01","52.63"
"2024-05-01","110.85"
"2024-06-01","124.28"
"2024-07-01","132.88"
"2024-08-01","129.48"
"2024-09-01","118.2"
"2024-10-01","101.36"
"2024-11-01","67.97"
"2024-12-01","94.97"
"2025-01-01","72.99"
"2025-02-01","77.11"
"2025-03-01","83.89"
"2025-04-01","57.31"
"2025-05-01","108.23"
"2025-06-01","128.97"
"2025-07-01","141.15"
"2025-08-01","134.82"
"2025-09-01","123.99"
"2025-10-01","99.21"
"2025-11-01","57.09"
"2025-12-01","87.53"
"2026-01-01","60.93"
"2026-02-01","59.71"
"2026-03-01","76.5"
"2026-04-01","65.38"
"2026-05-01","102.5"
"2026-06-01","120.07"
