"Date","0-6","7-14","15-30","31-60","61-90","91+"
"2025-07-01","90","61","97","120","131","226"
"2025-08-01","133","107","109","103","71","168"
"2025-09-01","135","143","149","113","61","151"
"2025-10-01","132","60","70","132","65","84"
"2025-11-01","114","57","30","42","12","22"
"2025-12-01","117","67","66","84","46","54"
"2026-01-01","110","49","50","48","11","24"
"2026-02-01","78","39","50","39","7","9"
"2026-03-01","88","69","89","32","6","14"
"2026-04-01","76","32","77","93","10","30"
"2026-05-01","133","50","78","91","61","98"
"2026-06-01","132","103","134","124","65","131"
