"Date","RevPAR"
"2024-06-01","136.78"
"2024-06-02","100.59"
"2024-06-03","90.46"
"2024-06-04","110.12"
"2024-06-05","97.44"
"2024-06-06","114.66"
"2024-06-07","128.77"
"2024-06-08","127.1"
"2024-06-09","106.12"
"2024-06-10","104.86"
"2024-06-11","110.69"
"2024-06-12","109.98"
"2024-06-13","123.58"
"2024-06-14","132.7"
"2024-06-15","148.29"
"2024-06-16","135.51"
"2024-06-17","125.06"
"2024-06-18","124.46"
"2024-06-19","124.76"
"2024-06-20","140.13"
"2024-06-21","141.65"
"2024-06-22","150.85"
"2024-06-23","131.46"
"2024-06-24","125.15"
"2024-06-25","111.31"
"2024-06-26","124.01"
"2024-06-27","134.71"
"2024-06-28","143.11"
"2024-06-29","135.12"
"2024-06-30","133.06"
"2024-07-01","129.94"
"2024-07-02","133.2"
"2024-07-03","155.12"
"2024-07-04","161.77"
"2024-07-05","167.28"
"2024-07-06","152.45"
"2024-07-07","134.15"
"2024-07-08","134.49"
"2024-07-09","137.51"
"2024-07-10","146.42"
"2024-07-11","141.29"
"2024-07-12","162.94"
"2024-07-13","155.3"
"2024-07-14","135.31"
"2024-07-15","123.36"
"2024-07-16","124.82"
"2024-07-17","127.62"
"2024-07-18","129.03"
"2024-07-19","127.45"
"2024-07-20","145.76"
"2024-07-21","110.72"
"2024-07-22","113.33"
"2024-07-23","126.07"
"2024-07-24","128.13"
"2024-07-25","132.75"
"2024-07-26","139.4"
"2024-07-27","125.89"
"2024-07-28","108.73"
"2024-07-29","95.13"
"2024-07-30","113.68"
"2024-07-31","109.57"
"2024-08-01","123.36"
"2024-08-02","127.46"
"2024-08-03","134.01"
"2024-08-04","125.24"
"2024-08-05","118.98"
"2024-08-06","112.58"
"2024-08-07","112.77"
"2024-08-08","135.56"
"2024-08-09","144.88"
"2024-08-10","142.27"
"2024-08-11","112.42"
"2024-08-12","113.76"
"2024-08-13","126.36"
"2024-08-14","114.76"
"2024-08-15","138.67"
"2024-08-16","153.97"
"2024-08-17","139.58"
"2024-08-18","120.48"
"2024-08-19","121.3"
"2024-08-20","118.87"
"2024-08-21","118.52"
"2024-08-22","129.97"
"2024-08-23","147.82"
"2024-08-24","151.01"
"2024-08-25","125.19"
"2024-08-26","100.38"
"2024-08-27","105.36"
"2024-08-28","110.91"
"2024-08-29","124.65"
"2024-08-30","172.36"
"2024-08-31","180.02"
"2024-09-01","150.9"
"2024-09-02","106.35"
"2024-09-03","93.63"
"2024-09-04","94.76"
"2024-09-05","102.4"
"2024-09-06","126.42"
"2024-09-07","130.42"
"2024-09-08","96.57"
"2024-09-09","94.32"
"2024-09-10","100.7"
"2024-09-11","102.37"
"2024-09-12","108.32"
"2024-09-13","129.86"
"2024-09-14","124.07"
"2024-09-15","107.97"
"2024-09-16","117.77"
"2024-09-17","120.2"
"2024-09-18","120.19"
"2024-09-19","121.2"
"2024-09-20","143.72"
"2024-09-21","144.42"
"2024-09-22","119.66"
"2024-09-23","117.68"
"2024-09-24","115.58"
"2024-09-25","114.13"
"2024-09-26","112.61"
"2024-09-27","132.37"
"2024-09-28","149.7"
"2024-09-29","131.06"
"2024-09-30","117.82"
"2024-10-01","116.96"
"2024-10-02","130.18"
"2024-10-03","143.05"
"2024-10-04","162.71"
"2024-10-05","158.04"
"2024-10-06","121.99"
"2024-10-07","111.18"
"2024-10-08","113.2"
"2024-10-09","117.79"
"2024-10-10","117.67"
"2024-10-11","140.88"
"2024-10-12","142.66"
"2024-10-13","109.44"
"2024-10-14","74.43"
"2024-10-15","88.11"
"2024-10-16","109.55"
"2024-10-17","122.87"
"2024-10-18","145.78"
"2024-10-19","115.01"
"2024-10-20","89.19"
"2024-10-21","73.57"
"2024-10-22","58.17"
"2024-10-23","53.94"
"2024-10-24","70.38"
"2024-10-25","86.87"
"2024-10-26","94.05"
"2024-10-27","45.49"
"2024-10-28","42.58"
"2024-10-29","47.64"
"2024-10-30","51.89"
"2024-10-31","54.61"
"2024-11-01","65.53"
"2024-11-02","85.18"
"2024-11-03","68.07"
"2024-11-04","65.09"
"2024-11-05","68.46"
"2024-11-06","60.98"
"2024-11-07","57.85"
"2024-11-08","81.15"
"2024-11-09","92.93"
"2024-11-10","70.62"
"2024-11-11","56.39"
"2024-11-12","34.67"
"2024-11-13","43.35"
"2024-11-14","57.43"
"2024-11-15","80.46"
"2024-11-16","86.98"
"2024-11-17","67.41"
"2024-11-18","27.29"
"2024-11-19","32.96"
"2024-11-20","34.89"
"2024-11-21","46.82"
"2024-11-22","54.23"
"2024-11-23","58.33"
"2024-11-24","55.37"
"2024-11-25","70.18"
"2024-11-26","84.06"
"2024-11-27","110.35"
"2024-11-28","113.89"
"2024-11-29","113.17"
"2024-11-30","87.14"
"2024-12-01","46.92"
"2024-12-02","38.01"
"2024-12-03","28.33"
"2024-12-04","37.84"
"2024-12-05","61.16"
"2024-12-06","93.71"
"2024-12-07","93.16"
"2024-12-08","60.7"
"2024-12-09","60.71"
"2024-12-10","51.84"
"2024-12-11","59.73"
"2024-12-12","85.02"
"2024-12-13","111.87"
"2024-12-14","127.28"
"2024-12-15","66.4"
"2024-12-16","62.78"
"2024-12-17","62.54"
"2024-12-18","72.83"
"2024-12-19","70.99"
"2024-12-20","111.22"
"2024-12-21","104.6"
"2024-12-22","106.53"
"2024-12-23","122.92"
"2024-12-24","126.37"
"2024-12-25","133.15"
"2024-12-26","149.72"
"2024-12-27","154.61"
"2024-12-28","152.59"
"2024-12-29","133.29"
"2024-12-30","149.53"
"2024-12-31","148.88"
"2025-01-01","122.74"
"2025-01-02","111.32"
"2025-01-03","106.29"
"2025-01-04","109.7"
"2025-01-05","76.13"
"2025-01-06","65.62"
"2025-01-07","73.44"
"2025-01-08","71.24"
"2025-01-09","63.78"
"2025-01-10","81.11"
"2025-01-11","71.96"
"2025-01-12","57.66"
"2025-01-13","63.34"
"2025-01-14","52.11"
"2025-01-15","58.99"
"2025-01-16","62.79"
"2025-01-17","82.9"
"2025-01-18","92.07"
"2025-01-19","55.17"
"2025-01-20","57.75"
"2025-01-21","49.24"
"2025-01-22","48.98"
"2025-01-23","54.16"
"2025-01-24","81.06"
"2025-01-25","79.93"
"2025-01-26","53.2"
"2025-01-27","59.97"
"2025-01-28","51.72"
"2025-01-29","57.11"
"2025-01-30","81.08"
"2025-01-31","109.21"
"2025-02-01","103.44"
"2025-02-02","76.53"
"2025-02-03","61.77"
"2025-02-04","46.46"
"2025-02-05","46.29"
"2025-02-06","60.92"
"2025-02-07","100.65"
"2025-02-08","92.92"
"2025-02-09","65.75"
"2025-02-10","73.96"
"2025-02-11","68.58"
"2025-02-12","80.15"
"2025-02-13","107.15"
"2025-02-14","140.22"
"2025-02-15","150.34"
"2025-02-16","119.73"
"2025-02-17","50.33"
"2025-02-18","52.95"
"2025-02-19","50.44"
"2025-02-20","53.46"
"2025-02-21","63.86"
"2025-02-22","75.64"
"2025-02-23","62.46"
"2025-02-24","64.9"
"2025-02-25","77.82"
"2025-02-26","79.96"
"2025-02-27","76.83"
"2025-02-28","51.83"
"2025-03-01","91.49"
"2025-03-02","63.2"
"2025-03-03","66.06"
"2025-03-04","61.14"
"2025-03-05","72.52"
"2025-03-06","86.6"
"2025-03-07","111.98"
"2025-03-08","96.22"
"2025-03-09","79.48"
"2025-03-10","62.87"
"2025-03-11","80.05"
"2025-03-12","90.3"
"2025-03-13","93.64"
"2025-03-14","97.46"
"2025-03-15","95.65"
"2025-03-16","88.61"
"2025-03-17","86"
"2025-03-18","80.07"
"2025-03-19","95.21"
"2025-03-20","116.2"
"2025-03-21","130.6"
"2025-03-22","95.68"
"2025-03-23","80.87"
"2025-03-24","76.25"
"2025-03-25","70.97"
"2025-03-26","78.83"
"2025-03-27","78.09"
"2025-03-28","91.47"
"2025-03-29","84.76"
"2025-03-30","61.95"
"2025-03-31","48.74"
"2025-04-01","41.86"
"2025-04-02","44.08"
"2025-04-03","54.85"
"2025-04-04","72.51"
"2025-04-05","61.24"
"2025-04-06","45.6"
