"Date","Occupancy"
"2023-04-01","67.12"
"2023-05-01","42.06"
"2023-06-01","71.82"
"2023-07-01","83.33"
"2023-08-01","56.03"
"2023-09-01","62.2"
"2023-10-01","50.93"
"2023-11-01","64.36"
"2023-12-01","28.41"
"2024-01-01","67.69"
"2024-02-01","80"
"2024-03-01","62.04"
"2024-04-01","38.35"
"2024-05-01","36.05"
"2024-06-01","49.42"
"2024-07-01","56.08"
"2024-08-01","46.25"
"2024-09-01","47.48"
"2024-10-01","50.76"
"2024-11-01","56.17"
"2024-12-01","31.67"
"2025-01-01","12.5"
"2025-02-01","26.6"
"2025-03-01","39.35"
"2025-04-01","43.65"
"2025-05-01","42.15"
"2025-06-01","51.39"
"2025-07-01","51.13"
"2025-08-01","55.04"
"2025-09-01","60.83"
"2025-10-01","58.95"
"2025-11-01","35.33"
"2025-12-01","46.97"
"2026-01-01","32.14"
"2026-02-01","36.36"
"2026-03-01","67.5"
