"Date","Revenue"
"2023-04-01","3865.3333333333335"
"2023-05-01","3406"
"2023-06-01","6530.5"
"2023-07-01","6476.5"
"2023-08-01","4091"
"2023-09-01","5206.333333333333"
"2023-10-01","3778"
"2023-11-01","2881.6"
"2023-12-01","2350.5"
"2024-01-01","2670.3333333333335"
"2024-02-01","3607"
"2024-03-01","3111.25"
"2024-04-01","2229.5"
"2024-05-01","2902.6666666666665"
"2024-06-01","4461.166666666667"
"2024-07-01","3754"
"2024-08-01","4592.25"
"2024-09-01","3709.6666666666665"
"2024-10-01","3977.222222222222"
"2024-11-01","3347.4444444444443"
"2024-12-01","1530.875"
"2025-01-01","1746"
"2025-02-01","1386.4"
"2025-03-01","2836.1666666666665"
"2025-04-01","2643.75"
"2025-05-01","3266.1"
"2025-06-01","5060.625"
"2025-07-01","4504.125"
"2025-08-01","5174.5"
"2025-09-01","4514.555555555556"
"2025-10-01","4515"
"2025-11-01","1883"
"2025-12-01","2251.3333333333335"
"2026-01-01","2035"
"2026-02-01","2733"
"2026-03-01","3779"
