"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-04-01","","3865.33","","","",""
"2023-05-01","","3406","","","",""
"2023-06-01","","6530.5","","","",""
"2023-07-01","","6476.5","","","",""
"2023-08-01","1019","4859","","","",""
"2023-09-01","","5206.33","","","",""
"2023-10-01","2153","4103","","","",""
"2023-11-01","1421","3246.75","","","",""
"2023-12-01","2395","2306","","","",""
"2024-01-01","2681","2665","","","",""
"2024-02-01","3726","3488","","","",""
"2024-03-01","3782.5","2440","","","",""
"2024-04-01","3765","1461.75","","","",""
"2024-05-01","3462","2623","","","",""
"2024-06-01","4667.5","4358","","","",""
"2024-07-01","3905.33","3663.2","","","",""
"2024-08-01","3850","5037.6","","","",""
"2024-09-01","3204","4114.2","","","",""
"2024-10-01","3360.25","4470.8","","","",""
"2024-11-01","2224.5","4245.8","","","",""
"2024-12-01","1761.25","1300.5","","","",""
"2025-01-01","1746","","","","",""
"2025-02-01","1784","790","","","",""
"2025-03-01","3239.67","2432.67","","","",""
"2025-04-01","2965.75","2321.75","","","",""
"2025-05-01","2828.2","3704","","","",""
"2025-06-01","4840","5193","","","",""
"2025-07-01","4596","4449","","","",""
"2025-08-01","5435.33","5018","","","",""
"2025-09-01","2868.25","5831.6","","","",""
"2025-10-01","3993.2","5036.8","","","",""
"2025-11-01","1929","1837","","","",""
"2025-12-01","2917.5","919","","","",""
"2026-01-01","2035","","","","",""
"2026-02-01","2733","","","","",""
"2026-03-01","3217.67","4621","","","",""
