"Date","RevPAR"
"2024-03-01","207.5"
"2024-03-02","187.67"
"2024-03-03","77.33"
"2024-03-04","77.33"
"2024-03-05","77.33"
"2024-03-06","77.33"
"2024-03-07","77.33"
"2024-03-08","166.33"
"2024-03-09","163.33"
"2024-03-10","77.33"
"2024-03-11","163.67"
"2024-03-12","168.33"
"2024-03-13","77.33"
"2024-03-14","162.67"
"2024-03-15","146.25"
"2024-03-16","210"
"2024-03-17","77.25"
"2024-03-18","82.25"
"2024-03-19","116.5"
"2024-03-20","119.75"
"2024-03-21","51.5"
"2024-03-22","167.5"
"2024-03-23","119"
"2024-03-24","91"
"2024-03-25","78.25"
"2024-03-26","44"
"2024-03-27","63.25"
"2024-03-28","67.5"
"2024-03-29","189"
"2024-03-30","190.75"
"2024-03-31","51.5"
"2024-04-01","173"
"2024-04-02","125.75"
"2024-04-03","47.5"
"2024-04-04","92.25"
"2024-04-05","131.5"
"2024-04-06","171.75"
"2024-04-07","0"
"2024-04-08","142.5"
"2024-04-09","190"
"2024-04-10","114.5"
"2024-04-11","79.67"
"2024-04-12","79.25"
"2024-04-13","119.25"
"2024-04-14","68.75"
"2024-04-15","68.75"
"2024-04-16","62.75"
"2024-04-17","83.67"
"2024-04-18","159.6"
"2024-04-19","235"
"2024-04-20","248.2"
"2024-04-21","55"
"2024-04-22","0"
"2024-04-23","0"
"2024-04-24","0"
"2024-04-25","31.8"
"2024-04-26","238"
"2024-04-27","230.5"
"2024-04-28","0"
"2024-04-29","0"
"2024-04-30","88.2"
"2024-05-01","49.67"
"2024-05-02","59.67"
"2024-05-03","158.83"
"2024-05-04","183.33"
"2024-05-05","85.17"
"2024-05-06","112.83"
"2024-05-07","27.67"
"2024-05-08","0"
"2024-05-09","32.2"
"2024-05-10","108.67"
"2024-05-11","129.5"
"2024-05-12","0"
"2024-05-13","0"
"2024-05-14","35.8"
"2024-05-15","0"
"2024-05-16","51.5"
"2024-05-17","134.5"
"2024-05-18","244"
"2024-05-19","41.2"
"2024-05-20","41.2"
"2024-05-21","134.6"
"2024-05-22","246.17"
"2024-05-23","252.17"
"2024-05-24","270.5"
"2024-05-25","229.67"
"2024-05-26","114"
"2024-05-27","51.5"
"2024-05-28","58.67"
"2024-05-29","69"
"2024-05-30","0"
"2024-05-31","100.5"
"2024-06-01","185.17"
"2024-06-02","182"
"2024-06-03","113.2"
"2024-06-04","94.33"
