"Date","Average RevPAR"
"2023-04-01","158.85"
"2023-05-01","127.33"
"2023-06-01","237.47"
"2023-07-01","269.85"
"2023-08-01","176.34"
"2023-09-01","190.48"
"2023-10-01","209.89"
"2023-11-01","142.65"
"2023-12-01","53.42"
"2024-01-01","123.25"
"2024-02-01","131.16"
"2024-03-01","115.23"
"2024-04-01","100.58"
"2024-05-01","101.26"
"2024-06-01","155.62"
"2024-07-01","158.9"
"2024-08-01","153.07"
"2024-09-01","140.28"
"2024-10-01","135.59"
"2024-11-01","128.2"
"2024-12-01","68.04"
"2025-01-01","32.74"
"2025-02-01","73.74"
"2025-03-01","109.79"
"2025-04-01","107.36"
"2025-05-01","134.96"
"2025-06-01","161.29"
"2025-07-01","163.05"
"2025-08-01","173.93"
"2025-09-01","169.3"
"2025-10-01","158.42"
"2025-11-01","90.2"
"2025-12-01","102.33"
"2026-01-01","72.68"
"2026-02-01","99.38"
"2026-03-01","157.46"
