"Date","Revenue"
"2023-04-01","1243"
"2023-05-01","664"
"2023-06-01","4201.5"
"2023-07-01","4930.5"
"2023-08-01","7750.5"
"2023-09-01","2671"
"2023-10-01","7065.333333333333"
"2023-11-01","3209.5"
"2023-12-01","5091"
"2024-01-01","4989"
"2024-02-01","3297"
"2024-03-01","5753.666666666667"
"2024-04-01","5738.666666666667"
"2024-05-01","6833.25"
"2024-06-01","6777.5"
"2024-07-01","6931"
"2024-08-01","7706"
"2024-09-01","8264"
"2024-10-01","5913.8"
"2024-11-01","5888.8"
"2024-12-01","5283.4"
"2025-01-01","5013.8"
"2025-02-01","3886.4"
"2025-03-01","5177"
"2025-04-01","7738"
"2025-05-01","10558.666666666666"
"2025-06-01","11357.4"
"2025-07-01","11435.8"
"2025-08-01","10799.5"
"2025-09-01","8621.833333333334"
"2025-10-01","8097.833333333333"
"2025-11-01","5813.666666666667"
"2025-12-01","6285.333333333333"
"2026-01-01","4244"
"2026-02-01","3793"
"2026-03-01","6877.25"
