"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-04-01","1243","","","","",""
"2023-05-01","664","","","","",""
"2023-06-01","4201.5","","","","",""
"2023-07-01","4930.5","","","","",""
"2023-08-01","7750.5","","","","",""
"2023-09-01","2671","","","","",""
"2023-10-01","6045","9106","","","",""
"2023-11-01","5387","1032","","","",""
"2023-12-01","7932","2250","","","",""
"2024-01-01","5867","4111","","","",""
"2024-02-01","2988","3915","","","",""
"2024-03-01","5340","6581","","","",""
"2024-04-01","5479.5","6257","","","",""
"2024-05-01","5591","10560","","","",""
"2024-06-01","5867.33","9508","","","",""
"2024-07-01","5990.67","9752","","","",""
"2024-08-01","6438.5","12776","","","",""
"2024-09-01","6835.25","13979","","","",""
"2024-10-01","5954.25","5752","","","",""
"2024-11-01","4823.5","10150","","","",""
"2024-12-01","5032","6289","","","",""
"2025-01-01","4884.5","5531","","","",""
"2025-02-01","3436","5688","","","",""
"2025-03-01","4989.25","5552.5","","","",""
"2025-04-01","6407.75","10398.5","","","",""
"2025-05-01","9187.75","13300.5","","","",""
"2025-06-01","9100.67","14742.5","","","",""
"2025-07-01","10146.33","13370","","","",""
"2025-08-01","8996","14406.5","","","",""
"2025-09-01","7848.5","10168.5","","","",""
"2025-10-01","6558","11177.5","","","",""
"2025-11-01","5802","5837","","","",""
"2025-12-01","6251.25","6353.5","","","",""
"2026-01-01","4435.5","3861","","","",""
"2026-02-01","3292.5","4794","","","",""
"2026-03-01","6190","8939","","","",""
