"Date","Average RevPAR"
"2023-04-01","44.39"
"2023-05-01","41.5"
"2023-06-01","200.07"
"2023-07-01","159.05"
"2023-08-01","281.84"
"2023-09-01","124.23"
"2023-10-01","353.27"
"2023-11-01","213.97"
"2023-12-01","226.27"
"2024-01-01","175.05"
"2024-02-01","164.85"
"2024-03-01","210.5"
"2024-04-01","226.53"
"2024-05-01","244.04"
"2024-06-01","255.75"
"2024-07-01","369.65"
"2024-08-01","298.68"
"2024-09-01","335.93"
"2024-10-01","236.55"
"2024-11-01","226.49"
"2024-12-01","195.68"
"2025-01-01","188.49"
"2025-02-01","171.96"
"2025-03-01","226.73"
"2025-04-01","297.62"
"2025-05-01","443.02"
"2025-06-01","465.47"
"2025-07-01","501.57"
"2025-08-01","506.23"
"2025-09-01","354.32"
"2025-10-01","335.08"
"2025-11-01","226.51"
"2025-12-01","221.84"
"2026-01-01","155.27"
"2026-02-01","146.83"
"2026-03-01","261.99"
