"Date","Revenue"
"2023-04-01","2019"
"2023-05-01","1865"
"2023-06-01","697"
"2023-07-01","429"
"2023-08-01","2021"
"2023-09-01","436"
"2023-10-01","0"
"2023-11-01","0"
"2023-12-01","0"
"2024-01-01","0"
"2024-02-01","0"
"2024-03-01","0"
"2024-04-01","0"
"2024-05-01","5723"
"2024-06-01","11772"
"2024-07-01","8634"
"2024-08-01","10117"
"2024-09-01","12630"
"2024-10-01","12891"
"2024-11-01","12462"
"2024-12-01","9912"
"2025-01-01","7013"
"2025-02-01","5640"
"2025-03-01","10878"
"2025-04-01","10041.333333333334"
"2025-05-01","13551"
"2025-06-01","15456"
"2025-07-01","12513.666666666666"
"2025-08-01","14937.333333333334"
"2025-09-01","11775.666666666666"
"2025-10-01","12021"
"2025-11-01","7724"
"2025-12-01","7028"
"2026-01-01","7286"
"2026-02-01","5927.333333333333"
"2026-03-01","9546"
