"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-04-01","2019","","","","",""
"2023-05-01","1865","","","","",""
"2023-06-01","697","","","","",""
"2023-07-01","429","","","","",""
"2023-08-01","2021","","","","",""
"2023-09-01","436","","","","",""
"2023-10-01","","","","","",""
"2023-11-01","","","","","",""
"2023-12-01","","","","","",""
"2024-01-01","","","","","",""
"2024-02-01","","","","","",""
"2024-03-01","","","","","",""
"2024-04-01","","","","","",""
"2024-05-01","5723","","","","",""
"2024-06-01","11772","","","","",""
"2024-07-01","8634","","","","",""
"2024-08-01","10117","","","","",""
"2024-09-01","12630","","","","",""
"2024-10-01","12891","","","","",""
"2024-11-01","12462","","","","",""
"2024-12-01","9912","","","","",""
"2025-01-01","9842","4184","","","",""
"2025-02-01","7006","4274","","","",""
"2025-03-01","10335","11421","","","",""
"2025-04-01","9772","10580","","","",""
"2025-05-01","12139.5","16374","","","",""
"2025-06-01","14178.5","18011","","","",""
"2025-07-01","10942","15657","","","",""
"2025-08-01","15535.5","13741","","","",""
"2025-09-01","9885","15557","","","",""
"2025-10-01","11638.5","12786","","","",""
"2025-11-01","8263.5","6645","","","",""
"2025-12-01","5991","9102","","","",""
"2026-01-01","7026.5","7805","","","",""
"2026-02-01","6303","5176","","","",""
"2026-03-01","8684","11270","","","",""
