"Date","RevPAR"
"2024-03-01","0"
"2024-03-02","0"
"2024-03-03","0"
"2024-03-04","0"
"2024-03-05","0"
"2024-03-06","0"
"2024-03-07","0"
"2024-03-08","0"
"2024-03-09","0"
"2024-03-10","0"
"2024-03-11","0"
"2024-03-12","0"
"2024-03-13","0"
"2024-03-14","0"
"2024-03-15","0"
"2024-03-16","0"
"2024-03-17","0"
"2024-03-18","0"
"2024-03-19","0"
"2024-03-20","0"
"2024-03-21","0"
"2024-03-22","0"
"2024-03-23","0"
"2024-03-24","0"
"2024-03-25","0"
"2024-03-26","0"
"2024-03-27","0"
"2024-03-28","0"
"2024-03-29","0"
"2024-03-30","0"
"2024-03-31","0"
"2024-04-01","0"
"2024-04-02","0"
"2024-04-03","0"
"2024-04-04","0"
"2024-04-05","0"
"2024-04-06","0"
"2024-04-07","0"
"2024-04-08","0"
"2024-04-09","0"
"2024-04-10","0"
"2024-04-11","0"
"2024-04-12","0"
"2024-04-13","0"
"2024-04-14","0"
"2024-04-15","0"
"2024-04-16","0"
"2024-04-17","0"
"2024-04-18","0"
"2024-04-19","0"
"2024-04-20","0"
"2024-04-21","0"
"2024-04-22","0"
"2024-04-23","0"
"2024-04-24","0"
"2024-04-25","0"
"2024-04-26","0"
"2024-04-27","0"
"2024-04-28","0"
"2024-04-29","0"
"2024-04-30","0"
"2024-05-01","0"
"2024-05-02","0"
"2024-05-03","814"
"2024-05-04","0"
"2024-05-05","0"
"2024-05-06","0"
"2024-05-07","0"
"2024-05-08","0"
"2024-05-09","0"
"2024-05-10","0"
"2024-05-11","0"
"2024-05-12","0"
"2024-05-13","0"
"2024-05-14","0"
"2024-05-15","0"
"2024-05-16","0"
"2024-05-17","0"
"2024-05-18","811"
"2024-05-19","605"
"2024-05-20","460"
"2024-05-21","0"
"2024-05-22","0"
"2024-05-23","510"
"2024-05-24","724"
"2024-05-25","560"
"2024-05-26","605"
"2024-05-27","0"
"2024-05-28","0"
"2024-05-29","0"
"2024-05-30","0"
"2024-05-31","634"
"2024-06-01","560"
"2024-06-02","0"
"2024-06-03","596"
"2024-06-04","590"
"2024-06-05","0"
"2024-06-06","0"
"2024-06-07","0"
"2024-06-08","0"
"2024-06-09","704"
"2024-06-10","642"
"2024-06-11","0"
"2024-06-12","0"
"2024-06-13","0"
"2024-06-14","724"
"2024-06-15","706"
"2024-06-16","0"
"2024-06-17","673"
"2024-06-18","644"
"2024-06-19","510"
"2024-06-20","636"
"2024-06-21","724"
"2024-06-22","690"
"2024-06-23","0"
"2024-06-24","0"
"2024-06-25","530"
"2024-06-26","420"
"2024-06-27","599"
"2024-06-28","724"
"2024-06-29","560"
"2024-06-30","540"
"2024-07-01","659"
"2024-07-02","692"
"2024-07-03","0"
"2024-07-04","0"
"2024-07-05","0"
"2024-07-06","0"
"2024-07-07","0"
"2024-07-08","0"
"2024-07-09","0"
"2024-07-10","0"
"2024-07-11","0"
"2024-07-12","0"
"2024-07-13","0"
"2024-07-14","0"
"2024-07-15","511"
"2024-07-16","510"
"2024-07-17","0"
"2024-07-18","0"
"2024-07-19","643"
"2024-07-20","597"
"2024-07-21","610"
"2024-07-22","0"
"2024-07-23","0"
"2024-07-24","714"
"2024-07-25","646"
"2024-07-26","677"
"2024-07-27","612"
"2024-07-28","576"
"2024-07-29","570"
"2024-07-30","0"
"2024-07-31","617"
"2024-08-01","670"
"2024-08-02","776"
"2024-08-03","560"
"2024-08-04","458"
"2024-08-05","0"
"2024-08-06","0"
"2024-08-07","0"
"2024-08-08","557"
"2024-08-09","684"
"2024-08-10","620"
"2024-08-11","620"
"2024-08-12","0"
"2024-08-13","0"
"2024-08-14","0"
"2024-08-15","686"
"2024-08-16","675"
"2024-08-17","721"
"2024-08-18","0"
"2024-08-19","0"
"2024-08-20","0"
"2024-08-21","0"
"2024-08-22","0"
"2024-08-23","731"
"2024-08-24","589"
"2024-08-25","635"
"2024-08-26","570"
"2024-08-27","0"
"2024-08-28","0"
"2024-08-29","0"
"2024-08-30","565"
"2024-08-31","0"
"2024-09-01","0"
"2024-09-02","514"
"2024-09-03","480"
"2024-09-04","525"
"2024-09-05","695"
"2024-09-06","647"
"2024-09-07","0"
"2024-09-08","0"
"2024-09-09","0"
"2024-09-10","520"
"2024-09-11","482"
"2024-09-12","497"
"2024-09-13","0"
"2024-09-14","586"
"2024-09-15","640"
"2024-09-16","610"
"2024-09-17","610"
"2024-09-18","610"
"2024-09-19","615"
"2024-09-20","635"
"2024-09-21","577"
"2024-09-22","509"
"2024-09-23","547"
"2024-09-24","0"
"2024-09-25","0"
"2024-09-26","0"
"2024-09-27","579"
"2024-09-28","546"
"2024-09-29","566"
"2024-09-30","640"
"2024-10-01","640"
"2024-10-02","0"
"2024-10-03","0"
"2024-10-04","633"
"2024-10-05","633"
"2024-10-06","610"
"2024-10-07","640"
"2024-10-08","819"
"2024-10-09","0"
"2024-10-10","0"
"2024-10-11","689"
"2024-10-12","689"
"2024-10-13","0"
"2024-10-14","0"
"2024-10-15","540"
"2024-10-16","540"
"2024-10-17","0"
"2024-10-18","0"
"2024-10-19","0"
"2024-10-20","0"
"2024-10-21","673"
"2024-10-22","650"
"2024-10-23","780"
"2024-10-24","823"
"2024-10-25","659"
"2024-10-26","626"
"2024-10-27","626"
"2024-10-28","0"
"2024-10-29","541"
"2024-10-30","540"
"2024-10-31","540"
"2024-11-01","640"
"2024-11-02","0"
"2024-11-03","0"
"2024-11-04","0"
"2024-11-05","640"
"2024-11-06","640"
"2024-11-07","0"
"2024-11-08","598"
"2024-11-09","614"
"2024-11-10","0"
"2024-11-11","0"
"2024-11-12","559"
"2024-11-13","559"
"2024-11-14","559"
"2024-11-15","640"
"2024-11-16","614"
"2024-11-17","0"
"2024-11-18","0"
"2024-11-19","0"
"2024-11-20","589"
"2024-11-21","589"
"2024-11-22","640"
"2024-11-23","640"
"2024-11-24","868"
"2024-11-25","586"
"2024-11-26","586"
