"Date","Average RevPAR"
"2023-04-01","72.11"
"2023-05-01","60.16"
"2023-06-01","26.81"
"2023-07-01","143"
"2023-08-01","144.36"
"2023-09-01","15.03"
"2023-10-01","0"
"2023-11-01","0"
"2023-12-01","0"
"2024-01-01","0"
"2024-02-01","0"
"2024-03-01","0"
"2024-04-01","0"
"2024-05-01","408.79"
"2024-06-01","535.09"
"2024-07-01","507.88"
"2024-08-01","595.12"
"2024-09-01","574.09"
"2024-10-01","613.86"
"2024-11-01","623.1"
"2024-12-01","430.96"
"2025-01-01","452.45"
"2025-02-01","262.33"
"2025-03-01","483.47"
"2025-04-01","510.58"
"2025-05-01","521.19"
"2025-06-01","662.4"
"2025-07-01","536.3"
"2025-08-01","589.63"
"2025-09-01","477.39"
"2025-10-01","456.49"
"2025-11-01","326.37"
"2025-12-01","257.12"
"2026-01-01","299.42"
"2026-02-01","225.09"
"2026-03-01","362.51"
