"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-04-01","","","","","",""
"2023-05-01","","","","","",""
"2023-06-01","","","","","",""
"2023-07-01","","","","","",""
"2023-08-01","","","","","",""
"2023-09-01","","","","","",""
"2023-10-01","","","","","",""
"2023-11-01","","","","","",""
"2023-12-01","","","","","",""
"2024-01-01","","","","","",""
"2024-02-01","","","","","",""
"2024-03-01","","","","","",""
"2024-04-01","","","","","",""
"2024-05-01","","","","","",""
"2024-06-01","","","","","",""
"2024-07-01","","","","","",""
"2024-08-01","","","","","",""
"2024-09-01","","","","","",""
"2024-10-01","","","","","",""
"2024-11-01","","","","","",""
"2024-12-01","","","","","",""
"2025-01-01","","","","","",""
"2025-02-01","","","","","",""
"2025-03-01","","","","","",""
"2025-04-01","","","","","",""
"2025-05-01","","","","","",""
"2025-06-01","","1301","","","",""
"2025-07-01","8771","","","","",""
"2025-08-01","13768","","","","",""
"2025-09-01","4535","","","","",""
"2025-10-01","6283","","","","",""
"2025-11-01","3369","","","","",""
"2025-12-01","3457","","","","",""
"2026-01-01","3151","","","","",""
"2026-02-01","2751","","","","",""
"2026-03-01","5768","","","","",""
