"Date","Average RevPAR"
"2023-04-01","0"
"2023-05-01","0"
"2023-06-01","0"
"2023-07-01","0"
"2023-08-01","0"
"2023-09-01","0"
"2023-10-01","0"
"2023-11-01","0"
"2023-12-01","0"
"2024-01-01","0"
"2024-02-01","0"
"2024-03-01","0"
"2024-04-01","0"
"2024-05-01","0"
"2024-06-01","0"
"2024-07-01","0"
"2024-08-01","0"
"2024-09-01","0"
"2024-10-01","0"
"2024-11-01","0"
"2024-12-01","0"
"2025-01-01","0"
"2025-02-01","0"
"2025-03-01","0"
"2025-04-01","0"
"2025-05-01","0"
"2025-06-01","72.28"
"2025-07-01","237.05"
"2025-08-01","474.76"
"2025-09-01","167.96"
"2025-10-01","216.66"
"2025-11-01","124.78"
"2025-12-01","111.52"
"2026-01-01","105.03"
"2026-02-01","119.61"
"2026-03-01","206"
