"Date","Occupancy"
"2023-04-01","0"
"2023-05-01","0"
"2023-06-01","0"
"2023-07-01","0"
"2023-08-01","29.63"
"2023-09-01","16.67"
"2023-10-01","0"
"2023-11-01","0"
"2023-12-01","0"
"2024-01-01","0"
"2024-02-01","0"
"2024-03-01","0"
"2024-04-01","0"
"2024-05-01","0"
"2024-06-01","0"
"2024-07-01","0"
"2024-08-01","0"
"2024-09-01","0"
"2024-10-01","0"
"2024-11-01","0"
"2024-12-01","0"
"2025-01-01","0"
"2025-02-01","0"
"2025-03-01","0"
"2025-04-01","0"
"2025-05-01","70.83"
"2025-06-01","62.5"
"2025-07-01","50"
"2025-08-01","92.31"
"2025-09-01","50"
"2025-10-01","76.92"
"2025-11-01","32.14"
"2025-12-01","63.33"
"2026-01-01","20"
"2026-02-01","8"
"2026-03-01","51.72"
