"Date","Revenue"
"2023-04-01","0"
"2023-05-01","0"
"2023-06-01","0"
"2023-07-01","0"
"2023-08-01","3280"
"2023-09-01","2717"
"2023-10-01","0"
"2023-11-01","0"
"2023-12-01","0"
"2024-01-01","0"
"2024-02-01","0"
"2024-03-01","0"
"2024-04-01","0"
"2024-05-01","0"
"2024-06-01","0"
"2024-07-01","0"
"2024-08-01","0"
"2024-09-01","0"
"2024-10-01","0"
"2024-11-01","0"
"2024-12-01","0"
"2025-01-01","0"
"2025-02-01","0"
"2025-03-01","0"
"2025-04-01","0"
"2025-05-01","9796"
"2025-06-01","8377"
"2025-07-01","4557"
"2025-08-01","13318"
"2025-09-01","6487"
"2025-10-01","9360"
"2025-11-01","3973"
"2025-12-01","6220"
"2026-01-01","1585"
"2026-02-01","1538"
"2026-03-01","5002"
