"Date","Occupancy"
"2023-04-01","66.67"
"2023-05-01","0"
"2023-06-01","50"
"2023-07-01","18.03"
"2023-08-01","19.05"
"2023-09-01","21.82"
"2023-10-01","5.45"
"2023-11-01","41.67"
"2023-12-01","0"
"2024-01-01","0"
"2024-02-01","0"
"2024-03-01","41.94"
"2024-04-01","53.33"
"2024-05-01","38.71"
"2024-06-01","33.9"
"2024-07-01","40.68"
"2024-08-01","40.98"
"2024-09-01","43.33"
"2024-10-01","29.17"
"2024-11-01","13.33"
"2024-12-01","38.71"
"2025-01-01","100"
"2025-02-01","0"
"2025-03-01","0"
"2025-04-01","40"
"2025-05-01","25.81"
"2025-06-01","23.33"
"2025-07-01","44.05"
"2025-08-01","38.04"
"2025-09-01","43.55"
"2025-10-01","48.72"
"2025-11-01","26.92"
"2025-12-01","43.4"
"2026-01-01","48.15"
"2026-02-01","54.72"
"2026-03-01","72.41"
