"Date","Revenue"
"2023-04-01","424"
"2023-05-01","0"
"2023-06-01","1203.5"
"2023-07-01","1480"
"2023-08-01","2186"
"2023-09-01","1043"
"2023-10-01","462"
"2023-11-01","705"
"2023-12-01","0"
"2024-01-01","0"
"2024-02-01","0"
"2024-03-01","2450"
"2024-04-01","3103"
"2024-05-01","2362"
"2024-06-01","2304"
"2024-07-01","3195.5"
"2024-08-01","3127"
"2024-09-01","2959"
"2024-10-01","1536"
"2024-11-01","945"
"2024-12-01","2375"
"2025-01-01","6107"
"2025-02-01","0"
"2025-03-01","0"
"2025-04-01","2618"
"2025-05-01","1140.5"
"2025-06-01","2169"
"2025-07-01","2477"
"2025-08-01","8065.5"
"2025-09-01","4405.333333333333"
"2025-10-01","4969"
"2025-11-01","2984"
"2025-12-01","4253.5"
"2026-01-01","4315"
"2026-02-01","5866.5"
"2026-03-01","7870"
