"Date","Average RevPAR"
"2023-04-01","141.33"
"2023-05-01","0"
"2023-06-01","133.72"
"2023-07-01","48.52"
"2023-08-01","52.05"
"2023-09-01","37.93"
"2023-10-01","8.4"
"2023-11-01","58.75"
"2023-12-01","0"
"2024-01-01","0"
"2024-02-01","0"
"2024-03-01","79.03"
"2024-04-01","103.43"
"2024-05-01","76.19"
"2024-06-01","78.1"
"2024-07-01","108.32"
"2024-08-01","102.52"
"2024-09-01","98.63"
"2024-10-01","64"
"2024-11-01","31.5"
"2024-12-01","76.61"
"2025-01-01","197"
"2025-02-01","0"
"2025-03-01","0"
"2025-04-01","130.9"
"2025-05-01","73.58"
"2025-06-01","72.3"
"2025-07-01","88.46"
"2025-08-01","175.34"
"2025-09-01","213.16"
"2025-10-01","191.12"
"2025-11-01","114.77"
"2025-12-01","160.51"
"2026-01-01","159.81"
"2026-02-01","221.38"
"2026-03-01","271.38"
