"Date","Occupancy"
"2023-03-01","57.12"
"2023-04-01","68.07"
"2023-05-01","67.53"
"2023-06-01","63.58"
"2023-07-01","53.3"
"2023-08-01","48.49"
"2023-09-01","70.32"
"2023-10-01","72.09"
"2023-11-01","48.69"
"2023-12-01","33.59"
"2024-01-01","24.37"
"2024-02-01","37.76"
"2024-03-01","67.6"
"2024-04-01","69.56"
"2024-05-01","76.09"
"2024-06-01","70.86"
"2024-07-01","53.02"
"2024-08-01","51.28"
"2024-09-01","65.26"
"2024-10-01","73.14"
"2024-11-01","50.18"
"2024-12-01","35.37"
"2025-01-01","29.04"
"2025-02-01","44.55"
"2025-03-01","63.82"
"2025-04-01","75.62"
"2025-05-01","73.23"
"2025-06-01","60.32"
"2025-07-01","48.22"
"2025-08-01","52.53"
"2025-09-01","58.96"
"2025-10-01","68.19"
"2025-11-01","47.47"
"2025-12-01","33.31"
"2026-01-01","24.95"
"2026-02-01","40.06"
