"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-03-01","4060.03","7228.2","6431.62","6003.75","12238.5","10376.67"
"2023-04-01","5529.92","9993.14","9257","8032.12","10839.25","14943"
"2023-05-01","5347.62","11287.06","12333.85","13658.33","13855","22777.67"
"2023-06-01","5248.65","9955.85","9565.79","12867.11","13505.25","13228.67"
"2023-07-01","3930.16","7450","8029.58","8605.78","13915.75","7847.67"
"2023-08-01","3879.76","5881.29","6201.83","5084.25","11348.75","11114"
"2023-09-01","5498","8825","9623.25","9873.22","15404","16810.67"
"2023-10-01","5994.65","10378.06","7248.92","6901","13066.5","18695"
"2023-11-01","3576.95","5365.91","5895","6338.71","10395.25","12236"
"2023-12-01","2716.76","3394.11","5123.5","7676.67","8061.75","7211"
"2024-01-01","1923.48","2604.59","4507.71","4501.2","4744.5","1395"
"2024-02-01","2215.63","3909.38","3490.89","5712.2","4378.67","4740.67"
"2024-03-01","5233.06","8532.03","8398.75","11604.5","12350.8","11150"
"2024-04-01","5995.82","10668.92","7490.88","11172","9705.25","19452"
"2024-05-01","7052.65","12760.64","11005.18","11041","15787.5","18404.33"
"2024-06-01","6421.68","12559.26","12628.38","14287.43","14679.75","8570.33"
"2024-07-01","4769.3","8001.62","9241.5","10127.57","15962","9802.33"
"2024-08-01","4482.14","6046.87","7514.67","7805.43","11793.75","13858"
"2024-09-01","5555.72","9285.81","10957.33","12090.57","13568.25","15684"
"2024-10-01","6840.62","10569.83","10266","11008","13844.25","16103.33"
"2024-11-01","3929.15","5886.22","7414.38","8725.89","10159","12727"
"2024-12-01","2608.92","3922.39","3673.38","5214.86","8106.25","7032.33"
"2025-01-01","2336.09","2352.31","4108","3926.83","5311.6","2220.33"
"2025-02-01","2653.88","3200.92","4165.27","6267.5","5873","4808"
"2025-03-01","4897.57","9393.54","9277.23","9050.86","11847.4","13952"
"2025-04-01","6749.45","11783.93","11530","10181.71","15305.17","17228.5"
"2025-05-01","6741.09","11942.49","14627.38","16390.5","14998.5","18664.33"
"2025-06-01","5570.05","9155.89","11354","13124","14848.17","13939.33"
"2025-07-01","4063.53","6084.7","6468.64","8094.38","14306.17","8834.67"
"2025-08-01","4305.56","5282.93","4958.44","7830.67","12408.5","13231"
"2025-09-01","5785.02","8699.62","6204.8","11002.11","12701.33","8167.33"
"2025-10-01","6282.86","8644.83","7098.23","11590","15473.67","18637"
"2025-11-01","3724.83","4366.51","4287.67","7843.89","12542.33","12799.33"
"2025-12-01","2713.41","2803.34","2757.91","5719.89","5176.83","6058.67"
"2026-01-01","2220.49","1705.57","1828.11","3029.5","5642.67","5351.33"
"2026-02-01","2466.23","2685.02","2167","4002.67","5534.25","4908"
