"Date","Average RevPAR"
"2023-03-01","206.01"
"2023-04-01","264.79"
"2023-05-01","290.29"
"2023-06-01","267.83"
"2023-07-01","195.86"
"2023-08-01","166.81"
"2023-09-01","268.11"
"2023-10-01","269.67"
"2023-11-01","164.1"
"2023-12-01","120.2"
"2024-01-01","77.68"
"2024-02-01","122.95"
"2024-03-01","267.55"
"2024-04-01","284.34"
"2024-05-01","328.1"
"2024-06-01","314.07"
"2024-07-01","224.91"
"2024-08-01","200.76"
"2024-09-01","278.76"
"2024-10-01","304"
"2024-11-01","189.98"
"2024-12-01","112.75"
"2025-01-01","85.34"
"2025-02-01","137.2"
"2025-03-01","255.6"
"2025-04-01","326.77"
"2025-05-01","333.15"
"2025-06-01","268.1"
"2025-07-01","185.19"
"2025-08-01","201.66"
"2025-09-01","244.75"
"2025-10-01","275.74"
"2025-11-01","164.05"
"2025-12-01","103.14"
"2026-01-01","69.72"
"2026-02-01","114.67"
