Date,Day,Little Luxe Lodge,Luxe Lodge,Holidays/Events,Notes,LOS
1/7/2027,Thu,388,880,,Applied 1.4 multiplier from here onwards,2
1/8/2027,Fri,435,1018,,,2
1/9/2027,Sat,435,1018,,,2
1/10/2027,Sun,381,836,,,2
1/11/2027,Mon,341,726,,,2
1/12/2027,Tue,341,726,,,2
1/13/2027,Wed,341,726,,,2
1/14/2027,Thu,388,880,,,3
1/15/2027,Fri,478,1119,MLK,,3
1/16/2027,Sat,478,1119,MLK,,3
1/17/2027,Sun,419,920,MLK,,2
1/18/2027,Mon,375,799,MLK,,2
1/19/2027,Tue,341,726,,,2
1/20/2027,Wed,341,726,,,2
1/21/2027,Thu,388,880,,,2
1/22/2027,Fri,435,1018,,,2
1/23/2027,Sat,435,1018,,,2
1/24/2027,Sun,381,836,,,2
1/25/2027,Mon,341,726,,,2
1/26/2027,Tue,341,726,,,2
1/27/2027,Wed,341,726,,,2
1/28/2027,Thu,388,880,,,2
1/29/2027,Fri,435,1018,,,2
1/30/2027,Sat,435,1018,,,2
1/31/2027,Sun,381,836,,,2
2/1/2027,Mon,323,759,,,2
2/2/2027,Tue,323,759,,,2
2/3/2027,Wed,323,759,,,2
2/4/2027,Thu,377,904,,,2
2/5/2027,Fri,415,1063,,,2
2/6/2027,Sat,415,1063,,,2
2/7/2027,Sun,361,886,,,2
2/8/2027,Mon,323,759,,,2
2/9/2027,Tue,323,759,,,2
2/10/2027,Wed,323,759,,,2
2/11/2027,Thu,377,904,,,3
2/12/2027,Fri,519,1328,Valentines,,3
2/13/2027,Sat,519,1328,Valentines,,3
2/14/2027,Sun,519,1328,Valentines,,2
2/15/2027,Mon,404,949,Presidents Day,,2
2/16/2027,Tue,323,759,,,2
2/17/2027,Wed,323,759,,,2
2/18/2027,Thu,377,904,,,2
2/19/2027,Fri,415,1063,,,2
2/20/2027,Sat,415,1063,,,2
2/21/2027,Sun,361,886,,,2
2/22/2027,Mon,323,759,,,2
2/23/2027,Tue,323,759,,,2
2/24/2027,Wed,323,759,,,2
2/25/2027,Thu,377,904,,,2
2/26/2027,Fri,415,1063,,,2
2/27/2027,Sat,415,1063,,,2
2/28/2027,Sun,361,886,,,2
3/1/2027,Mon,323,759,,,2
3/2/2027,Tue,323,759,,,2
3/3/2027,Wed,323,759,,,2
3/4/2027,Thu,454,1101,,,2
3/5/2027,Fri,507,1265,,,2
3/6/2027,Sat,507,1265,,,2
3/7/2027,Sun,438,1044,,,2
3/8/2027,Mon,384,911,,,2
3/9/2027,Tue,384,911,,,2
3/10/2027,Wed,384,911,,,2
3/11/2027,Thu,454,1101,,,2
3/12/2027,Fri,507,1265,,,2
3/13/2027,Sat,507,1265,,,2
3/14/2027,Sun,438,1044,,,2
3/15/2027,Mon,384,911,,,2
3/16/2027,Tue,384,911,,,2
3/17/2027,Wed,384,911,,,2
3/18/2027,Thu,454,1101,,,2
3/19/2027,Fri,507,1265,,,2
3/20/2027,Sat,507,1265,,,2
3/21/2027,Sun,438,1044,,,2
3/22/2027,Mon,384,911,,,2
3/23/2027,Tue,384,911,,,2
3/24/2027,Wed,384,911,,,2
3/25/2027,Thu,454,1101,,,2
3/26/2027,Fri,507,1265,,,2
3/27/2027,Sat,507,1265,,,2
3/28/2027,Sun,438,1044,,,2
3/29/2027,Mon,384,911,,,2
3/30/2027,Tue,384,911,,,2
3/31/2027,Wed,384,911,,,2
4/1/2027,Thu,415,987,,,2
4/2/2027,Fri,461,1139,,,2
4/3/2027,Sat,461,1139,,,2
