unit_id,year_month,bookings,room_nights,revenue,adr,min_adr,max_adr
Standard Queen,2024-01,33,61,4385.15,71.89,60.3,96.95
Standard King,2024-01,19,38,3129.6800000000003,82.36,68.0,103.5
Small Queen,2024-01,18,26,1683.0,64.73,60.3,72.0
Double Queen,2024-01,15,26,2140.1,82.31,75.6,103.5
Small Queen,2024-02,17,24,1531.1000000000001,63.8,60.3,69.0
Standard King,2024-02,25,52,3884.9,74.71,40.0,84.0
Double Queen,2024-02,32,46,3675.5099999999998,79.9,50.0,93.0
Standard Queen,2024-02,53,93,6448.31,69.34,60.3,75.6
Standard King,2024-03,69,105,8592.2,81.83,62.1,93.0
Standard Queen,2024-03,93,149,10832.5,72.7,62.1,81.375
Small Queen,2024-03,34,42,2844.8,67.73,62.1,78.0
Double Queen,2024-03,62,94,8895.85,94.64,62.1,112.0
Standard King,2024-04,68,125,9275.0,74.2,58.0,96.0
Small Queen,2024-04,32,42,2771.3,65.98,56.7,84.0
Double Queen,2024-04,67,139,11815.663333333334,85.0,50.0,110.0
Standard Queen,2024-04,108,156,10721.936666666666,68.73,56.7,99.5
Standard Queen,2024-05,140,199,21398.64,107.53,50.0,157.0
Double Queen,2024-05,101,136,17570.04,129.19,50.0,185.0
Standard King,2024-05,114,178,21506.85,120.82,95.0,163.0
Small Queen,2024-05,44,58,5817.21,100.3,75.0,145.0
Double Queen,2024-06,132,190,27945.97,147.08,25.0,178.0
Small Queen,2024-06,38,57,7007.9,122.95,99.0,147.0
Standard Queen,2024-06,151,232,31692.36,136.6,103.5,161.0
Standard King,2024-06,125,217,31038.59,143.03,25.0,318.995
Double Queen,2024-07,145,199,30922.656666666666,155.39,0.0,184.25
Small Queen,2024-07,50,58,7347.416666666667,126.68,0.0,147.0
Standard Queen,2024-07,155,225,30980.136666666665,137.69,0.0,163.0
Standard King,2024-07,141,221,32254.01,145.95,0.0,174.0
Standard King,2024-08,140,220,33148.55,150.68,0.0,309.0
Small Queen,2024-08,44,63,8489.0,134.75,0.0,423.9
