booking_window,lead_time_min,lead_time_max,bookings,revenue,share_of_revenue_pct,share_of_bookings_pct,room_nights
0-7 days,0,7.0,5368,879442.08,45.71,53.74,7517
8-14 days,8,14.0,928,195078.23,10.14,9.29,1551
15-30 days,15,30.0,1283,294290.21,15.3,12.85,2292
31-45 days,31,45.0,694,150433.49,7.82,6.95,1140
46-60 days,46,60.0,450,102385.46,5.32,4.51,753
61-75 days,61,75.0,332,83500.51,4.34,3.32,622
76-90 days,76,90.0,260,61224.48,3.18,2.6,477
91-120 days,91,120.0,290,63780.6,3.32,2.9,478
121-180 days,121,180.0,268,68917.13,3.58,2.68,508
181-270 days,181,270.0,96,19740.92,1.03,0.96,154
271-365 days,271,365.0,17,4698.5,0.24,0.17,29
365+ days,366,,2,364.0,0.02,0.02,2
