channel,year,bookings,revenue,room_nights,share_of_revenue_pct,share_of_bookings_pct,adr
Expedia,2024,1212,215514.96,1870,32.22,33.02,115.25
Booking.com,2024,798,148938.06,1181,22.26,21.74,126.11
Reservation Import,2024,667,121404.08,1079,18.15,18.17,112.52
Hotels.com,2024,530,92772.3,804,13.87,14.44,115.39
Google (Ads Hotel),2024,91,16635.23,147,2.49,2.48,113.16
Orbitz,2024,30,4904.4,40,0.73,0.82,122.61
Walk-In,2024,170,33172.1,289,4.96,4.63,114.78
Direct,2024,134,28268.2,217,4.23,3.65,130.27
Phone,2024,39,7343.6,55,1.1,1.06,133.52
Direct,2025,477,110618.33,773,14.3,12.55,143.1
Booking.com,2025,862,167099.89,1286,21.6,22.68,129.94
Expedia,2025,1900,371334.64,2913,47.99,49.99,127.47
Phone,2025,104,25932.03,176,3.35,2.74,147.34
Walk-In,2025,279,56197.15,433,7.26,7.34,129.79
Airbnb,2025,176,41788.5,285,5.4,4.63,146.63
Booking.com,2026,467,79554.76,718,16.54,18.56,110.8
Direct,2026,479,114590.33,804,23.82,19.04,142.53
Airbnb,2026,234,50716.1,371,10.54,9.3,136.7
Expedia,2026,1021,168743.91,1541,35.07,40.58,109.5
Stash Hotel Rewards,2025,3,808.45,4,0.1,0.08,202.11
Walk-In,2026,263,54161.45,459,11.26,10.45,118.0
Phone,2026,50,12701.71,73,2.64,1.99,174.0
Stash Hotel Rewards,2026,1,95.94,1,0.02,0.04,95.94
Default Corporate Client,2026,1,559.49,4,0.12,0.04,139.87
