date,revenue,room_nights,bookings,active_units_count,contributing_units_count,excluded_units_count,adr,occupancy_pct,revpar,revpar_smoothed,contributing_units_min_14d,contributing_units_max_14d,composition_shift_flag,revpar_percentile,base_tier_id,base_tier_label,tier_id,tier_label,tier_method
2024-01-01,200.0,2.0,2.0,4,4,0,100.0,7.41,382.3315811965812,241.46511294261293,4.0,4.0,False,41.51459854014598,3,Tier 3,3,Shoulder,quantile_fallback
2024-01-02,349.25,4.0,4.0,4,4,0,87.31,14.81,384.1313034188034,227.34401175213677,4.0,4.0,False,38.503649635036496,2,Tier 2,2,Low,quantile_fallback
2024-01-03,288.05,3.0,1.0,4,4,0,96.02,11.11,321.2763034188034,221.6538188509022,4.0,4.0,False,35.31021897810219,2,Tier 2,2,Low,quantile_fallback
2024-01-04,738.5,8.0,6.0,4,4,0,92.31,29.63,219.74602564102565,224.5037286324786,4.0,4.0,False,36.95255474452554,2,Tier 2,2,Low,quantile_fallback
2024-01-05,393.2,4.0,0.0,4,4,0,98.3,14.81,153.1140811965812,219.88126845376846,4.0,4.0,False,34.67153284671533,2,Tier 2,2,Low,quantile_fallback
2024-01-06,180.65,2.0,1.0,4,4,0,90.32,7.41,126.24769230769232,215.24747061965812,4.0,4.0,False,33.48540145985402,2,Tier 2,2,Low,quantile_fallback
2024-01-07,83.7,1.0,0.0,4,4,0,83.7,3.7,103.40880341880342,210.34500493096647,4.0,4.0,False,33.3029197080292,2,Tier 2,2,Low,quantile_fallback
2024-01-08,0.0,0.0,0.0,4,4,0,,0.0,128.49630341880342,203.71012362637362,4.0,4.0,False,31.751824817518248,2,Tier 2,2,Low,quantile_fallback
2024-01-09,79.0,1.0,1.0,4,4,0,79.0,3.7,176.13227564102564,185.19471306471306,4.0,4.0,False,29.288321167883215,2,Tier 2,2,Low,quantile_fallback
2024-01-10,289.29999999999995,4.0,4.0,4,4,0,72.32,14.81,250.15291666666667,172.15051282051283,4.0,4.0,False,25.27372262773723,2,Tier 2,2,Low,quantile_fallback
2024-01-11,293.04999999999995,4.0,4.0,4,4,0,73.26,14.81,173.65666666666667,168.81113400488402,4.0,4.0,False,22.81021897810219,2,Tier 2,2,Low,quantile_fallback
2024-01-12,742.85,10.0,6.0,4,4,0,74.28,37.04,164.27569444444444,170.870028998779,4.0,4.0,False,23.722627737226276,2,Tier 2,2,Low,quantile_fallback
2024-01-13,695.6166666666667,9.0,6.0,4,4,0,77.29,33.33,151.51541666666665,172.83521367521368,4.0,4.0,False,25.547445255474454,2,Tier 2,2,Low,quantile_fallback
2024-01-14,295.9666666666667,4.0,1.0,4,4,0,73.99,14.81,117.45666666666666,171.94079517704517,4.0,4.0,False,25.0,2,Tier 2,2,Low,quantile_fallback
2024-01-15,208.66666666666669,3.0,2.0,4,4,0,69.56,11.11,123.11583333333334,171.877963980464,4.0,4.0,False,24.72627737226277,2,Tier 2,2,Low,quantile_fallback
2024-01-16,219.6,3.0,2.0,4,4,0,73.2,11.11,201.51250000000002,170.42381333943834,4.0,4.0,False,23.357664233576642,2,Tier 2,2,Low,quantile_fallback
2024-01-17,493.05,7.0,5.0,4,4,0,70.44,25.93,274.52500000000003,171.40000992063491,4.0,4.0,False,24.27007299270073,2,Tier 2,2,Low,quantile_fallback
2024-01-18,567.73,8.0,6.0,4,4,0,70.97,29.63,248.57055555555556,168.05803571428572,4.0,4.0,False,22.445255474452555,2,Tier 2,2,Low,quantile_fallback
2024-01-19,215.25,3.0,0.0,4,4,0,71.75,11.11,180.62666666666667,166.0870238095238,4.0,4.0,False,21.624087591240876,2,Tier 2,2,Low,quantile_fallback
2024-01-20,504.40000000000003,7.0,5.0,4,4,0,72.06,25.93,113.72583333333334,162.17310515873015,4.0,4.0,False,20.437956204379564,2,Tier 2,2,Low,quantile_fallback
2024-01-21,138.25,2.0,1.0,4,4,0,69.12,7.41,102.52916666666665,155.71149801587302,4.0,4.0,False,16.05839416058394,1,Tier 1,1,Soft,quantile_fallback
2024-01-22,210.7,3.0,1.0,4,4,0,70.23,11.11,108.13819444444444,153.37036706349207,4.0,4.0,False,14.416058394160583,1,Tier 1,1,Soft,quantile_fallback
2024-01-23,349.3,5.0,3.0,4,4,0,69.86,18.52,189.79902777777775,155.46984126984125,4.0,4.0,False,15.784671532846714,1,Tier 1,1,Soft,quantile_fallback
2024-01-24,470.45000000000005,7.0,4.0,4,4,0,67.21,25.93,203.36527777777778,158.11333664021163,4.0,4.0,False,18.43065693430657,1,Tier 1,1,Soft,quantile_fallback
2024-01-25,478.0,7.0,3.0,4,4,0,68.29,25.93,146.0625,156.8529034391534,4.0,4.0,False,17.60948905109489,1,Tier 1,1,Soft,quantile_fallback
2024-01-26,492.15,7.0,4.0,4,4,0,70.31,25.93,109.48083333333334,151.70970238095236,4.0,4.0,False,12.682481751824817,1,Tier 1,1,Soft,quantile_fallback
2024-01-27,206.1,3.0,1.0,4,4,0,68.7,11.11,61.05291666666667,150.20228930461073,4.0,4.0,False,11.587591240875913,1,Tier 1,1,Soft,quantile_fallback
2024-01-28,0.0,0.0,0.0,4,4,0,,0.0,84.68083333333333,152.89207860922147,4.0,4.0,False,13.686131386861314,1,Tier 1,1,Soft,quantile_fallback
2024-01-29,208.60000000000002,3.0,3.0,4,4,0,69.53,11.11,152.50847222222222,154.57204648526076,4.0,4.0,False,14.68978102189781,1,Tier 1,1,Soft,quantile_fallback
2024-01-30,489.43888888888887,7.0,6.0,4,4,0,69.92,25.93,238.52143518518517,155.21383975812546,4.0,4.0,False,15.237226277372262,1,Tier 1,1,Soft,quantile_fallback
2024-01-31,483.8888888888889,7.0,3.0,4,4,0,69.13,25.93,256.8789351851852,155.2124038643235,4.0,4.0,False,14.963503649635038,1,Tier 1,1,Soft,quantile_fallback
2024-02-01,934.3888888888889,13.0,9.0,4,4,0,71.88,48.15,176.56574074074078,152.70457908163266,4.0,4.0,False,13.138686131386862,1,Tier 1,1,Soft,quantile_fallback
2024-02-02,1408.24126984127,19.0,10.0,4,4,0,74.12,70.37,159.52288359788358,150.96334821428573,4.0,4.0,False,11.952554744525548,1,Tier 1,1,Soft,quantile_fallback
2024-02-03,1174.0412698412697,16.0,7.0,4,4,0,73.38,59.26,151.3828835978836,153.03682539682538,4.0,4.0,False,13.959854014598541,1,Tier 1,1,Soft,quantile_fallback
2024-02-04,492.29126984126987,7.0,2.0,4,4,0,70.33,25.93,126.04871693121693,156.62985615079364,4.0,4.0,False,17.062043795620436,1,Tier 1,1,Soft,quantile_fallback
2024-02-05,522.7912698412698,7.0,3.0,4,4,0,74.68,25.93,117.12330026455027,159.40099206349208,4.0,4.0,False,19.251824817518248,1,Tier 1,1,Soft,quantile_fallback
2024-02-06,509.07876984126983,7.0,3.0,4,4,0,72.73,25.93,189.77892526455025,156.3431498015873,4.0,4.0,False,16.605839416058394,1,Tier 1,1,Soft,quantile_fallback
2024-02-07,433.4787698412698,6.0,1.0,4,4,0,72.25,22.22,168.2557308201058,155.29426256613758,4.0,4.0,False,15.51094890510949,1,Tier 1,1,Soft,quantile_fallback
2024-02-08,416.4732142857143,6.0,2.0,4,4,0,69.41,22.22,121.68526785714285,157.03065806878308,4.0,4.0,False,17.88321167883212,1,Tier 1,1,Soft,quantile_fallback
2024-02-09,812.3541666666666,11.0,7.0,4,4,0,73.85,40.74,138.5095138888889,159.6129613095238,4.0,4.0,False,19.525547445255476,1,Tier 1,1,Soft,quantile_fallback
2024-02-10,716.7041666666667,10.0,4.0,4,4,0,71.67,37.04,111.35534722222222,166.67240315570672,4.0,4.0,False,22.08029197080292,2,Tier 2,2,Low,quantile_fallback
