date,unit_id,active,listing_start_date,start_date_source,out_of_window,property_revenue,property_room_nights,bookings,property_revpar,month_day,listing_revpar_doy_avg,contributing_year_count,data_years_contributing,insufficient_data,tier_id,tier_label
2024-01-01,Double Queen,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-01,496.46111111111105,3.0,"2024,2025,2026",False,3,Shoulder
2024-01-02,Double Queen,True,2024-01-01,config,False,103.5,1.0,1.0,103.5,01-02,531.6061111111111,3.0,"2024,2025,2026",False,2,Low
2024-01-03,Double Queen,True,2024-01-01,config,False,103.5,1.0,0.0,103.5,01-03,488.4183333333333,3.0,"2024,2025,2026",False,2,Low
2024-01-04,Double Queen,True,2024-01-01,config,False,103.5,1.0,0.0,103.5,01-04,292.7888888888889,3.0,"2024,2025,2026",False,2,Low
2024-01-05,Double Queen,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-05,133.13888888888889,3.0,"2024,2025,2026",False,2,Low
2024-01-06,Double Queen,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-06,103.30555555555556,3.0,"2024,2025,2026",False,2,Low
2024-01-07,Double Queen,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-07,44.916666666666664,3.0,"2024,2025,2026",False,2,Low
2024-01-08,Double Queen,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-08,112.91666666666667,3.0,"2024,2025,2026",False,2,Low
2024-01-09,Double Queen,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-09,194.41666666666666,3.0,"2024,2025,2026",False,2,Low
2024-01-10,Double Queen,True,2024-01-01,config,False,151.2,2.0,2.0,151.2,01-10,362.3333333333333,3.0,"2024,2025,2026",False,2,Low
2024-01-11,Double Queen,True,2024-01-01,config,False,160.35,2.0,2.0,160.35,01-11,203.01666666666665,3.0,"2024,2025,2026",False,2,Low
2024-01-12,Double Queen,True,2024-01-01,config,False,322.95,4.0,2.0,322.95,01-12,193.01666666666665,3.0,"2024,2025,2026",False,2,Low
2024-01-13,Double Queen,True,2024-01-01,config,False,256.8,3.0,2.0,256.8,01-13,253.0233333333333,3.0,"2024,2025,2026",False,2,Low
2024-01-14,Double Queen,True,2024-01-01,config,False,154.2,2.0,1.0,154.2,01-14,198.69999999999996,3.0,"2024,2025,2026",False,2,Low
2024-01-15,Double Queen,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-15,62.03333333333333,3.0,"2024,2025,2026",False,2,Low
2024-01-16,Double Queen,True,2024-01-01,config,False,79.0,1.0,1.0,79.0,01-16,252.15,3.0,"2024,2025,2026",False,2,Low
2024-01-17,Double Queen,True,2024-01-01,config,False,159.0,2.0,1.0,159.0,01-17,340.53000000000003,3.0,"2024,2025,2026",False,2,Low
2024-01-18,Double Queen,True,2024-01-01,config,False,78.60000000000001,1.0,1.0,78.60000000000001,01-18,349.4466666666667,3.0,"2024,2025,2026",False,2,Low
2024-01-19,Double Queen,True,2024-01-01,config,False,78.60000000000001,1.0,0.0,78.60000000000001,01-19,208.4,3.0,"2024,2025,2026",False,2,Low
2024-01-20,Double Queen,True,2024-01-01,config,False,78.60000000000001,1.0,0.0,78.60000000000001,01-20,48.01666666666667,3.0,"2024,2025,2026",False,2,Low
2024-01-21,Double Queen,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-21,25.666666666666668,3.0,"2024,2025,2026",False,1,Soft
2024-01-22,Double Queen,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-22,0.0,3.0,"2024,2025,2026",False,1,Soft
2024-01-23,Double Queen,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-23,251.17666666666665,3.0,"2024,2025,2026",False,1,Soft
2024-01-24,Double Queen,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-24,258.2266666666667,3.0,"2024,2025,2026",False,1,Soft
2024-01-25,Double Queen,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-25,106.07000000000001,3.0,"2024,2025,2026",False,1,Soft
2024-01-26,Double Queen,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-26,75.87,3.0,"2024,2025,2026",False,1,Soft
2024-01-27,Double Queen,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-27,25.30333333333333,3.0,"2024,2025,2026",False,1,Soft
2024-01-28,Double Queen,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-28,25.570833333333336,3.0,"2024,2025,2026",False,1,Soft
2024-01-29,Double Queen,True,2024-01-01,config,False,79.0,1.0,1.0,79.0,01-29,104.36083333333333,3.0,"2024,2025,2026",False,1,Soft
2024-01-30,Double Queen,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,01-30,325.9941666666667,3.0,"2024,2025,2026",False,1,Soft
2024-01-31,Double Queen,True,2024-01-01,config,False,77.10000000000001,1.0,1.0,77.10000000000001,01-31,373.7108333333333,3.0,"2024,2025,2026",False,1,Soft
2024-02-01,Double Queen,True,2024-01-01,config,False,170.10000000000002,2.0,1.0,170.10000000000002,02-01,203.47333333333336,3.0,"2024,2025,2026",False,1,Soft
2024-02-02,Double Queen,True,2024-01-01,config,False,415.3,5.0,3.0,415.3,02-02,138.43333333333334,3.0,"2024,2025,2026",False,1,Soft
2024-02-03,Double Queen,True,2024-01-01,config,False,333.29999999999995,4.0,1.0,333.29999999999995,02-03,174.4333333333333,3.0,"2024,2025,2026",False,1,Soft
2024-02-04,Double Queen,True,2024-01-01,config,False,0.0,0.0,0.0,0.0,02-04,83.0,3.0,"2024,2025,2026",False,1,Soft
2024-02-05,Double Queen,True,2024-01-01,config,False,158.0,2.0,2.0,158.0,02-05,168.46666666666667,3.0,"2024,2025,2026",False,1,Soft
2024-02-06,Double Queen,True,2024-01-01,config,False,154.6,2.0,1.0,154.6,02-06,299.2966666666667,3.0,"2024,2025,2026",False,1,Soft
