unit_id,season,season_order,season_revenue,season_room_nights,season_bookings,season_adr,season_score_1_10,season_percentile
Double Queen,Soft,1,33023.72583333333,387.0,232.0,85.33,5.5,50.0
Small Queen,Soft,1,11813.6975,173.0,124.0,68.29,3.25,25.0
Standard King,Soft,1,35923.71916666667,484.0,286.0,74.22,7.749999999999999,75.0
Standard Queen,Soft,1,39050.38454761905,535.0,309.0,72.99,10.0,100.0
Standard Queen with Kitchen,Soft,1,0.0,0.0,0.0,,1.0,0.0
Double Queen,Low,2,49314.28,550.0,340.0,89.66,5.5,50.0
Small Queen,Low,2,13950.772500000001,211.0,142.0,66.12,3.25,25.0
Standard King,Low,2,52922.616095238096,675.0,408.0,78.4,7.749999999999999,75.0
Standard Queen,Low,2,59032.25852930403,816.0,484.0,72.34,10.0,100.0
Standard Queen with Kitchen,Low,2,524.55,7.0,4.0,74.94,1.0,0.0
Double Queen,Shoulder,3,80226.99333333333,700.0,431.0,114.61,5.5,50.0
Small Queen,Shoulder,3,26761.786666666667,313.0,227.0,85.5,3.25,25.0
Standard King,Shoulder,3,91621.78128571429,895.0,608.0,102.37,7.749999999999999,75.0
Standard Queen,Shoulder,3,94213.8612087912,1054.0,631.0,89.39,10.0,100.0
Standard Queen with Kitchen,Shoulder,3,1875.22,18.0,8.0,104.18,1.0,0.0
Double Queen,High,4,148093.3925,908.0,613.0,163.1,5.5,50.0
Small Queen,High,4,51842.895,382.0,265.0,135.71,3.25,25.0
Standard King,High,4,181851.36428571428,1160.0,724.0,156.77,10.0,100.0
Standard Queen,High,4,177068.0313809524,1196.0,820.0,148.05,7.749999999999999,75.0
Standard Queen with Kitchen,High,4,2227.72,19.0,10.0,117.25,1.0,0.0
Double Queen,Peak,5,227563.40492424244,1367.0,942.0,166.47,5.5,50.0
Small Queen,Peak,5,55019.29666666667,406.0,305.0,135.52,3.25,25.0
Standard King,Peak,5,244036.64696969697,1578.0,971.0,154.65,10.0,100.0
Standard Queen,Peak,5,237361.49160606062,1628.0,1069.0,145.8,7.749999999999999,75.0
Standard Queen with Kitchen,Peak,5,7011.95,44.0,25.0,159.36,1.0,0.0
