year_month,revenue,room_nights,adr,bookings,occupancy_pct,revpar
2024-01,11337.93,151,75.09,85,19.48,14.63
2024-02,15539.82,215,72.28,127,29.66,21.43
2024-03,31165.35,390,79.91,258,50.32,40.21
2024-04,34583.9,462,74.86,275,61.6,46.11
2024-05,66292.74,571,116.1,399,73.68,85.54
2024-06,97684.81999999999,696,140.35,446,92.8,130.25
2024-07,101504.22,703,144.39,491,90.71,130.97
2024-08,102750.46,693,148.27,463,89.42,132.58
2024-09,101357.1,709,142.96,475,94.53,135.14
2024-10,65482.73,532,123.09,331,68.65,84.49
2024-11,14502.08,211,68.73,145,28.13,19.34
2024-12,26751.78,349,76.65,176,45.03,34.52
2025-01,18601.14,284,65.5,157,36.65,24.0
2025-02,15121.26,221,68.42,124,31.57,21.6
2025-03,13312.69,175,76.07,117,22.58,17.18
2025-04,18800.58,297,63.3,199,39.6,25.07
2025-05,68200.39,578,117.99,408,74.58,88.0
2025-06,106306.43,702,151.43,453,93.6,141.74
2025-07,132049.46,764,172.84,478,98.58,170.39
2025-08,120516.2,696,173.16,470,89.81,155.5
2025-09,116064.8,673,172.46,469,89.73,154.75
2025-10,75710.09,555,136.41,360,71.61,97.69
2025-11,35714.47,445,80.26,298,59.33,47.62
2025-12,53381.48,480,111.21,268,61.94,68.88
2026-01,35693.54,436,81.87,281,56.26,46.06
2026-02,25600.93,303,84.49,172,43.29,36.57
2026-03,37861.06,433,87.44,280,55.87,48.85
2026-04,37138.93,498,74.58,301,61.48,45.85
2026-05,71476.31,565,126.51,372,67.5,85.4
2026-06,112443.74,724,155.31,475,89.38,138.82
2026-07,101528.16,616,164.82,392,73.6,121.3
2026-08,25699.64,180,142.78,112,21.51,30.7
2026-09,21620.71,115,188.01,73,14.2,26.69
2026-10,9727.33,80,121.59,49,9.56,11.62
2026-11,1147.8,12,95.65,4,1.48,1.42
2026-12,1185.54,9,131.73,5,1.08,1.42
