month_index,month_name,avg_basis_year_count,revenue,room_nights,adr,bookings,occupancy_pct,revpar,performance_score_1_10,performance_rank_provisional,rank_filter_min_arrival,rank_filter_max_arrival
1,January,3,21877.54,290.33,75.35,174.33,37.46,28.23,3,False,,
2,February,3,18754.0,246.33,76.13,141.0,34.78,26.48,2,False,,
3,March,3,27446.37,332.67,82.5,218.33,42.93,35.41,4,False,,
4,April,3,30174.47,419.0,72.02,258.33,54.42,39.19,5,False,,
5,May,3,68656.48,571.33,120.17,393.0,71.81,86.29,7,False,,
6,June,3,105478.33,707.33,149.12,458.0,91.86,136.98,9,False,,
7,July,3,111693.95,694.33,160.87,453.67,87.26,140.38,10,False,,
8,August,3,82988.77,523.0,158.68,348.33,65.73,104.3,8,False,,
9,September,3,79680.87,499.0,159.68,339.0,64.81,103.48,8,False,,
10,October,3,50306.72,389.0,129.32,246.67,48.89,63.23,6,False,,
11,November,3,17121.45,222.67,76.89,149.0,28.92,22.24,1,False,,
12,December,3,27106.27,279.33,97.04,149.67,35.11,34.07,3,False,,
