night_date,year,month,month_name,rooms_sold,capacity_rooms,occupancy_pct,allocated_revenue,adr
2024-07-01,2024,7,July,13,25,52.0,1934.4,148.8
2024-07-02,2024,7,July,18,25,72.0,2699.01,149.95
2024-07-03,2024,7,July,20,25,80.0,2963.08,148.15
2024-07-04,2024,7,July,23,25,92.0,3423.15,148.83
2024-07-05,2024,7,July,23,25,92.0,3591.25,156.14
2024-07-06,2024,7,July,25,25,100.0,3967.55,158.7
2024-07-07,2024,7,July,25,25,100.0,3771.67,150.87
2024-07-08,2024,7,July,25,25,100.0,3568.68,142.75
2024-07-09,2024,7,July,25,25,100.0,3513.64,140.55
2024-07-10,2024,7,July,25,25,100.0,3660.86,146.43
2024-07-11,2024,7,July,23,25,92.0,3368.94,146.48
2024-07-12,2024,7,July,25,25,100.0,3769.72,150.79
2024-07-13,2024,7,July,24,25,96.0,3583.6,149.32
2024-07-14,2024,7,July,20,25,80.0,2982.8,149.14
2024-07-15,2024,7,July,24,25,96.0,3588.15,149.51
2024-07-16,2024,7,July,25,25,100.0,3819.35,152.77
2024-07-17,2024,7,July,24,25,96.0,3562.0,148.42
2024-07-18,2024,7,July,22,25,88.0,3309.6,150.44
2024-07-19,2024,7,July,25,25,100.0,3795.55,151.82
2024-07-20,2024,7,July,25,25,100.0,3838.14,153.53
2024-07-21,2024,7,July,21,25,84.0,3134.82,149.28
2024-07-22,2024,7,July,24,25,96.0,3615.55,150.65
2024-07-23,2024,7,July,25,25,100.0,3602.75,144.11
2024-07-24,2024,7,July,23,25,92.0,3303.55,143.63
2024-07-25,2024,7,July,24,25,96.0,3537.7,147.4
2024-07-26,2024,7,July,24,25,96.0,3688.2,153.68
2024-07-27,2024,7,July,24,25,96.0,3730.67,155.44
2024-07-28,2024,7,July,23,25,92.0,3130.72,136.12
2024-07-29,2024,7,July,23,25,92.0,3008.75,130.82
2024-07-30,2024,7,July,19,25,76.0,2040.35,107.39
2024-07-31,2024,7,July,14,25,56.0,0.0,0.0
2024-08-01,2024,8,August,15,25,60.0,2166.4,144.43
2024-08-02,2024,8,August,22,25,88.0,3281.98,149.18
2024-08-03,2024,8,August,24,25,96.0,3724.33,155.18
2024-08-04,2024,8,August,17,25,68.0,2438.82,143.46
2024-08-05,2024,8,August,21,25,84.0,2857.8,136.09
2024-08-06,2024,8,August,25,25,100.0,3951.0,158.04
2024-08-07,2024,8,August,23,25,92.0,3595.13,156.31
2024-08-08,2024,8,August,25,25,100.0,4030.03,161.2
2024-08-09,2024,8,August,25,25,100.0,4154.82,166.19
2024-08-10,2024,8,August,22,25,88.0,3459.05,157.23
2024-08-11,2024,8,August,22,25,88.0,2896.48,131.66
2024-08-12,2024,8,August,21,25,84.0,2640.98,125.76
2024-08-13,2024,8,August,17,25,68.0,2336.91,137.47
2024-08-14,2024,8,August,22,25,88.0,3388.36,154.02
2024-08-15,2024,8,August,22,25,88.0,3093.39,140.61
2024-08-16,2024,8,August,21,25,84.0,2926.26,139.35
2024-08-17,2024,8,August,21,25,84.0,2804.41,133.54
2024-08-18,2024,8,August,21,25,84.0,3054.17,145.44
2024-08-19,2024,8,August,24,25,96.0,3150.51,131.27
2024-08-20,2024,8,August,24,25,96.0,3426.11,142.75
2024-08-21,2024,8,August,23,25,92.0,3313.72,144.07
2024-08-22,2024,8,August,24,25,96.0,3842.9,160.12
2024-08-23,2024,8,August,24,25,96.0,3912.65,163.03
2024-08-24,2024,8,August,25,25,100.0,4016.59,160.66
2024-08-25,2024,8,August,19,25,76.0,2584.32,136.02
2024-08-26,2024,8,August,17,25,68.0,2308.81,135.81
2024-08-27,2024,8,August,22,25,88.0,3005.71,136.62
2024-08-28,2024,8,August,20,25,80.0,2604.23,130.21
2024-08-29,2024,8,August,23,25,92.0,3550.55,154.37
2024-08-30,2024,8,August,25,25,100.0,4184.73,167.39
2024-08-31,2024,8,August,24,25,96.0,3956.83,164.87
2024-09-01,2024,9,September,23,25,92.0,3437.15,149.44
2024-09-02,2024,9,September,22,25,88.0,2567.37,116.7
2024-09-03,2024,9,September,25,25,100.0,3023.27,120.93
2024-09-04,2024,9,September,25,25,100.0,3114.69,124.59
2024-09-05,2024,9,September,22,25,88.0,2960.16,134.55
2024-09-06,2024,9,September,25,25,100.0,3834.16,153.37
2024-09-07,2024,9,September,25,25,100.0,3652.05,146.08
2024-09-08,2024,9,September,24,25,96.0,3325.81,138.58
2024-09-09,2024,9,September,25,25,100.0,3282.61,131.3
2024-09-10,2024,9,September,24,25,96.0,3328.74,138.7
2024-09-11,2024,9,September,24,25,96.0,3365.96,140.25
2024-09-12,2024,9,September,24,25,96.0,3492.8,145.53
2024-09-13,2024,9,September,24,25,96.0,3689.8,153.74
2024-09-14,2024,9,September,21,25,84.0,3254.82,154.99
2024-09-15,2024,9,September,24,25,96.0,3424.59,142.69
2024-09-16,2024,9,September,21,25,84.0,2911.75,138.65
2024-09-17,2024,9,September,24,25,96.0,3232.6,134.69
2024-09-18,2024,9,September,24,25,96.0,3313.8,138.08
2024-09-19,2024,9,September,24,25,96.0,3767.18,156.97
2024-09-20,2024,9,September,25,25,100.0,4052.8,162.11
2024-09-21,2024,9,September,24,25,96.0,3770.8,157.12
2024-09-22,2024,9,September,20,25,80.0,2554.87,127.74
2024-09-23,2024,9,September,25,25,100.0,3270.95,130.84
2024-09-24,2024,9,September,25,25,100.0,3604.35,144.17
2024-09-25,2024,9,September,25,25,100.0,4119.3,164.77
2024-09-26,2024,9,September,23,25,92.0,3679.15,159.96
2024-09-27,2024,9,September,25,25,100.0,4050.32,162.01
2024-09-28,2024,9,September,23,25,92.0,3658.57,159.07
2024-09-29,2024,9,September,22,25,88.0,3168.68,144.03
2024-09-30,2024,9,September,19,25,76.0,2553.08,134.37
2025-07-01,2025,7,July,18,25,72.0,2977.77,165.43
2025-07-02,2025,7,July,22,25,88.0,3418.55,155.39
2025-07-03,2025,7,July,24,25,96.0,4277.87,178.24
2025-07-04,2025,7,July,24,25,96.0,4970.29,207.1
2025-07-05,2025,7,July,25,25,100.0,4979.02,199.16
2025-07-06,2025,7,July,21,25,84.0,3801.93,181.04
2025-07-07,2025,7,July,26,25,104.0,4150.11,159.62
2025-07-08,2025,7,July,26,25,104.0,3720.41,143.09
2025-07-09,2025,7,July,24,25,96.0,3533.2,147.22
2025-07-10,2025,7,July,25,25,100.0,4271.33,170.85
2025-07-11,2025,7,July,25,25,100.0,4424.99,177.0
2025-07-12,2025,7,July,25,25,100.0,4172.29,166.89
2025-07-13,2025,7,July,25,25,100.0,4110.92,164.44
2025-07-14,2025,7,July,24,25,96.0,3925.91,163.58
2025-07-15,2025,7,July,24,25,96.0,4044.52,168.52
2025-07-16,2025,7,July,23,25,92.0,4024.59,174.98
2025-07-17,2025,7,July,23,25,92.0,4157.85,180.78
2025-07-18,2025,7,July,24,25,96.0,4814.84,200.62
2025-07-19,2025,7,July,23,25,92.0,4374.14,190.18
2025-07-20,2025,7,July,19,25,76.0,3203.98,168.63
2025-07-21,2025,7,July,24,25,96.0,4016.19,167.34
2025-07-22,2025,7,July,25,25,100.0,4072.67,162.91
2025-07-23,2025,7,July,25,25,100.0,4203.65,168.15
2025-07-24,2025,7,July,25,25,100.0,4247.15,169.89
2025-07-25,2025,7,July,24,25,96.0,4579.12,190.8
2025-07-26,2025,7,July,24,25,96.0,4450.1,185.42
2025-07-27,2025,7,July,23,25,92.0,4102.27,178.36
2025-07-28,2025,7,July,24,25,96.0,4020.71,167.53
2025-07-29,2025,7,July,24,25,96.0,4102.23,170.93
2025-07-30,2025,7,July,25,25,100.0,4254.93,170.2
2025-07-31,2025,7,July,25,25,100.0,4340.48,173.62
