year,month,month_name,arrival_dow,day_group,room_nights,revenue,adr,mtw_adr,fri_sat_adr,weekend_premium_pct
2024,7,July,Monday,weekday,121,17656.21,145.92,146.72,154.62,5.38
2024,7,July,Tuesday,weekday,88,12951.91,147.18,146.72,154.62,5.38
2024,7,July,Wednesday,weekday,98,14435.6,147.3,146.72,154.62,5.38
2024,7,July,Thursday,weekday,91,13570.8,149.13,146.72,154.62,5.38
2024,7,July,Friday,weekend_fri_sat,94,14436.2,153.58,146.72,154.62,5.38
2024,7,July,Saturday,weekend_fri_sat,90,14013.1,155.7,146.72,154.62,5.38
2024,7,July,Sunday,weekday,99,14440.4,145.86,146.72,154.62,5.38
2024,8,August,Monday,weekday,78,10708.8,137.29,143.46,157.58,9.84
2024,8,August,Tuesday,weekday,98,13887.3,141.71,143.46,157.58,9.84
2024,8,August,Wednesday,weekday,107,16001.8,149.55,143.46,157.58,9.84
2024,8,August,Thursday,weekday,116,19075.93,164.45,143.46,157.58,9.84
2024,8,August,Friday,weekend_fri_sat,111,17648.53,159.0,143.46,157.58,9.84
2024,8,August,Saturday,weekend_fri_sat,88,13709.1,155.79,143.46,157.58,9.84
2024,8,August,Sunday,weekday,85,11719.0,137.87,143.46,157.58,9.84
2024,9,September,Monday,weekday,98,13190.4,134.6,139.26,154.17,10.7
2024,9,September,Tuesday,weekday,93,12899.5,138.7,139.26,154.17,10.7
2024,9,September,Wednesday,weekday,101,14575.3,144.31,139.26,154.17,10.7
2024,9,September,Thursday,weekday,100,15281.4,152.81,139.26,154.17,10.7
2024,9,September,Friday,weekend_fri_sat,109,17128.9,157.15,139.26,154.17,10.7
2024,9,September,Saturday,weekend_fri_sat,69,10313.3,149.47,139.26,154.17,10.7
2024,9,September,Sunday,weekday,137,17968.3,131.16,139.26,154.17,10.7
2025,7,July,Monday,weekday,108,16669.26,154.34,163.68,189.19,15.58
2025,7,July,Tuesday,weekday,129,21937.83,170.06,163.68,189.19,15.58
2025,7,July,Wednesday,weekday,124,20480.54,165.17,163.68,189.19,15.58
2025,7,July,Thursday,weekday,126,22399.33,177.77,163.68,189.19,15.58
2025,7,July,Friday,weekend_fri_sat,108,21163.56,195.96,163.68,189.19,15.58
2025,7,July,Saturday,weekend_fri_sat,77,13835.89,179.69,163.68,189.19,15.58
2025,7,July,Sunday,weekday,92,15563.05,169.16,163.68,189.19,15.58
2025,8,August,Monday,weekday,90,13696.32,152.18,153.5,196.73,28.17
2025,8,August,Tuesday,weekday,74,11240.66,151.9,153.5,196.73,28.17
2025,8,August,Wednesday,weekday,85,13283.63,156.28,153.5,196.73,28.17
2025,8,August,Thursday,weekday,123,22125.6,179.88,153.5,196.73,28.17
2025,8,August,Friday,weekend_fri_sat,122,25739.22,210.98,153.5,196.73,28.17
2025,8,August,Saturday,weekend_fri_sat,120,21869.48,182.25,153.5,196.73,28.17
2025,8,August,Sunday,weekday,79,12561.29,159.0,153.5,196.73,28.17
2025,9,September,Monday,weekday,121,19978.15,165.11,166.41,188.99,13.57
2025,9,September,Tuesday,weekday,121,19427.66,160.56,166.41,188.99,13.57
2025,9,September,Wednesday,weekday,89,15675.71,176.13,166.41,188.99,13.57
2025,9,September,Thursday,weekday,77,13768.6,178.81,166.41,188.99,13.57
2025,9,September,Friday,weekend_fri_sat,106,21268.63,200.65,166.41,188.99,13.57
2025,9,September,Saturday,weekend_fri_sat,67,11427.49,170.56,166.41,188.99,13.57
2025,9,September,Sunday,weekday,90,14518.56,161.32,166.41,188.99,13.57
2026,7,July,Monday,weekday,113,17607.33,155.82,160.47,178.51,11.24
2026,7,July,Tuesday,weekday,67,10306.53,153.83,160.47,178.51,11.24
2026,7,July,Wednesday,weekday,69,12043.67,174.55,160.47,178.51,11.24
2026,7,July,Thursday,weekday,115,19897.92,173.03,160.47,178.51,11.24
2026,7,July,Friday,weekend_fri_sat,94,17209.02,183.07,160.47,178.51,11.24
2026,7,July,Saturday,weekend_fri_sat,84,14565.35,173.4,160.47,178.51,11.24
2026,7,July,Sunday,weekday,69,9898.34,143.45,160.47,178.51,11.24
2026,8,August,Monday,weekday,32,4330.86,135.34,136.39,153.37,12.45
2026,8,August,Tuesday,weekday,26,3384.45,130.17,136.39,153.37,12.45
2026,8,August,Wednesday,weekday,32,4560.13,142.5,136.39,153.37,12.45
2026,8,August,Thursday,weekday,30,4455.07,148.5,136.39,153.37,12.45
2026,8,August,Friday,weekend_fri_sat,13,2241.3,172.41,136.39,153.37,12.45
2026,8,August,Saturday,weekend_fri_sat,21,2973.42,141.59,136.39,153.37,12.45
2026,8,August,Sunday,weekday,26,3754.41,144.4,136.39,153.37,12.45
2026,9,September,Monday,weekday,7,1140.73,162.96,145.23,236.76,63.03
2026,9,September,Tuesday,weekday,16,2313.39,144.59,145.23,236.76,63.03
2026,9,September,Wednesday,weekday,17,2354.92,138.52,145.23,236.76,63.03
2026,9,September,Thursday,weekday,19,3660.2,192.64,145.23,236.76,63.03
2026,9,September,Friday,weekend_fri_sat,23,4651.9,202.26,145.23,236.76,63.03
2026,9,September,Saturday,weekend_fri_sat,22,6002.46,272.84,145.23,236.76,63.03
2026,9,September,Sunday,weekday,11,1497.11,136.1,145.23,236.76,63.03
