year,month,month_name,lead_band,room_nights,adr,rn_share_pct
2024,7,July,0-6,235,148.42,34.51
2024,7,July,7-14,55,152.58,8.08
2024,7,July,15-30,112,151.74,16.45
2024,7,July,31-60,105,150.08,15.42
2024,7,July,61-90,72,145.03,10.57
2024,7,July,91+,102,147.44,14.98
2024,8,August,0-6,308,150.22,45.1
2024,8,August,7-14,70,154.2,10.25
2024,8,August,15-30,67,155.33,9.81
2024,8,August,31-60,93,148.55,13.62
2024,8,August,61-90,68,142.53,9.96
2024,8,August,91+,77,152.91,11.27
2024,9,September,0-6,233,144.93,32.96
2024,9,September,7-14,62,131.0,8.77
2024,9,September,15-30,151,146.04,21.36
2024,9,September,31-60,117,151.46,16.55
2024,9,September,61-90,48,143.44,6.79
2024,9,September,91+,96,133.42,13.58
2025,7,July,0-6,334,182.22,43.72
2025,7,July,7-14,134,178.28,17.54
2025,7,July,15-30,178,158.19,23.3
2025,7,July,31-60,97,155.17,12.7
2025,7,July,61-90,15,167.05,1.96
2025,7,July,91+,6,264.18,0.79
2025,8,August,0-6,300,183.65,43.29
2025,8,August,7-14,93,184.43,13.42
2025,8,August,15-30,97,179.65,14.0
2025,8,August,31-60,106,150.62,15.3
2025,8,August,61-90,74,145.26,10.68
2025,8,August,91+,23,179.53,3.32
2025,9,September,0-6,249,177.93,37.11
2025,9,September,7-14,82,162.9,12.22
2025,9,September,15-30,145,165.68,21.61
2025,9,September,31-60,119,170.71,17.73
2025,9,September,61-90,45,178.35,6.71
2025,9,September,91+,31,194.79,4.62
2026,7,July,0-6,326,161.19,53.36
2026,7,July,7-14,99,166.31,16.2
2026,7,July,15-30,118,161.32,19.31
2026,7,July,31-60,20,184.14,3.27
2026,7,July,61-90,34,204.55,5.56
2026,7,July,91+,14,203.04,2.29
2026,8,August,7-14,4,134.71,2.22
2026,8,August,15-30,65,138.16,36.11
2026,8,August,31-60,89,143.67,49.44
2026,8,August,61-90,4,168.7,2.22
2026,8,August,91+,18,151.02,10.0
2026,9,September,31-60,29,207.64,25.22
2026,9,September,61-90,55,154.38,47.83
2026,9,September,91+,31,229.3,26.96
