year,month,month_name,day_group,reservations,room_nights,revenue,adr,rn_share_pct,median_lead_days,mean_lead_days,lead_0-6_rn_share_pct,lead_7-14_rn_share_pct,lead_15-30_rn_share_pct,lead_31-60_rn_share_pct,lead_61-90_rn_share_pct,lead_91+_rn_share_pct
2024,7,July,weekday,342,497,73054.92,146.99,72.98,15.0,37.75,37.42,8.45,13.88,15.9,10.06,14.29
2024,7,July,weekend_fri_sat,135,184,28449.3,154.62,27.02,26.0,56.36,26.63,7.07,23.37,14.13,11.96,16.85
2024,8,August,weekday,316,484,71392.83,147.51,70.86,2.0,20.59,50.41,11.16,7.44,12.81,8.47,9.71
2024,8,August,weekend_fri_sat,141,199,31357.63,157.58,29.14,18.0,38.17,32.16,8.04,15.58,15.58,13.57,15.08
2024,9,September,weekday,353,529,73914.9,139.73,74.82,12.0,29.34,35.54,10.02,20.04,16.07,6.99,11.34
2024,9,September,weekend_fri_sat,120,178,27442.2,154.17,25.18,28.5,42.4,25.28,5.06,25.28,17.98,6.18,20.22
2025,7,July,weekday,369,579,97050.01,167.62,75.79,7.0,13.55,45.42,17.62,22.11,12.09,2.59,0.17
2025,7,July,weekend_fri_sat,109,185,34999.45,189.19,24.21,9.0,16.11,38.38,17.3,27.03,14.59,0.0,2.7
2025,8,August,weekday,322,451,72907.5,161.66,65.08,6.0,23.01,47.23,9.09,13.97,18.4,6.65,4.66
2025,8,August,weekend_fri_sat,147,242,47608.7,196.73,34.92,8.0,19.56,35.95,21.49,14.05,9.5,18.18,0.83
2025,9,September,weekday,344,498,83368.68,167.41,74.22,12.0,22.23,36.75,12.05,22.29,19.88,5.42,3.61
2025,9,September,weekend_fri_sat,124,173,32696.12,188.99,25.78,10.0,24.53,38.15,12.72,19.65,11.56,10.4,7.51
2026,7,July,weekday,279,433,69753.79,161.09,70.87,2.0,14.8,53.58,13.39,20.32,3.23,7.16,2.31
2026,7,July,weekend_fri_sat,110,178,31774.37,178.51,29.13,5.5,14.71,52.81,23.03,16.85,3.37,1.69,2.25
2026,8,August,weekday,89,146,20484.92,140.31,81.11,37.0,47.56,0.0,0.68,33.56,50.68,2.74,12.33
2026,8,August,weekend_fri_sat,23,34,5214.72,153.37,18.89,28.0,30.17,0.0,8.82,47.06,44.12,0.0,0.0
2026,9,September,weekday,40,70,10966.35,156.66,60.87,69.0,79.03,0.0,0.0,0.0,21.43,58.57,20.0
2026,9,September,weekend_fri_sat,33,45,10654.36,236.76,39.13,118.0,93.3,0.0,0.0,0.0,31.11,31.11,37.78
