tier_id,tier_label,start_date,end_date,length_days
3,Shoulder,2024-01-01,2024-01-01,1
2,Low,2024-01-02,2024-01-20,19
1,Soft,2024-01-21,2024-02-09,20
2,Low,2024-02-10,2024-02-23,14
1,Soft,2024-02-24,2024-03-05,11
2,Low,2024-03-06,2024-03-11,6
3,Shoulder,2024-03-12,2024-03-25,14
2,Low,2024-03-26,2024-03-31,6
3,Shoulder,2024-04-01,2024-04-02,2
2,Low,2024-04-03,2024-04-16,14
3,Shoulder,2024-04-17,2024-05-16,30
4,High,2024-05-17,2024-05-25,9
5,Peak,2024-05-26,2024-08-04,71
4,High,2024-08-05,2024-08-25,21
5,Peak,2024-08-26,2024-08-26,1
4,High,2024-08-27,2024-09-03,8
5,Peak,2024-09-04,2024-09-06,3
4,High,2024-09-07,2024-09-13,7
5,Peak,2024-09-14,2024-09-15,2
4,High,2024-09-16,2024-09-16,1
5,Peak,2024-09-17,2024-09-19,3
4,High,2024-09-20,2024-09-21,2
5,Peak,2024-09-22,2024-09-22,1
4,High,2024-09-23,2024-10-10,18
3,Shoulder,2024-10-11,2024-10-25,15
2,Low,2024-10-26,2024-10-31,6
1,Soft,2024-11-01,2024-11-27,27
2,Low,2024-11-28,2024-11-29,2
1,Soft,2024-11-30,2024-12-14,15
2,Low,2024-12-15,2024-12-21,7
3,Shoulder,2024-12-22,2025-01-06,16
2,Low,2025-01-07,2025-01-20,14
1,Soft,2025-01-21,2025-02-09,20
2,Low,2025-02-10,2025-02-24,15
1,Soft,2025-02-25,2025-03-05,9
2,Low,2025-03-06,2025-03-12,7
3,Shoulder,2025-03-13,2025-03-25,13
2,Low,2025-03-26,2025-03-31,6
3,Shoulder,2025-04-01,2025-04-02,2
2,Low,2025-04-03,2025-04-16,14
3,Shoulder,2025-04-17,2025-05-16,30
4,High,2025-05-17,2025-05-25,9
5,Peak,2025-05-26,2025-08-04,71
4,High,2025-08-05,2025-08-25,21
5,Peak,2025-08-26,2025-08-26,1
4,High,2025-08-27,2025-09-03,8
5,Peak,2025-09-04,2025-09-06,3
4,High,2025-09-07,2025-09-13,7
5,Peak,2025-09-14,2025-09-15,2
4,High,2025-09-16,2025-09-16,1
5,Peak,2025-09-17,2025-09-19,3
4,High,2025-09-20,2025-09-21,2
5,Peak,2025-09-22,2025-09-22,1
4,High,2025-09-23,2025-10-10,18
3,Shoulder,2025-10-11,2025-10-25,15
2,Low,2025-10-26,2025-10-31,6
1,Soft,2025-11-01,2025-11-27,27
2,Low,2025-11-28,2025-11-29,2
1,Soft,2025-11-30,2025-12-14,15
2,Low,2025-12-15,2025-12-21,7
3,Shoulder,2025-12-22,2026-01-06,16
2,Low,2026-01-07,2026-01-20,14
1,Soft,2026-01-21,2026-02-09,20
2,Low,2026-02-10,2026-02-24,15
1,Soft,2026-02-25,2026-03-05,9
2,Low,2026-03-06,2026-03-12,7
3,Shoulder,2026-03-13,2026-03-25,13
2,Low,2026-03-26,2026-04-21,27
3,Shoulder,2026-04-22,2026-05-17,26
4,High,2026-05-18,2026-05-27,10
5,Peak,2026-05-28,2026-05-30,3
4,High,2026-05-31,2026-06-04,5
5,Peak,2026-06-05,2026-07-28,54
4,High,2026-07-29,2026-10-08,72
3,Shoulder,2026-10-09,2026-10-24,16
2,Low,2026-10-25,2026-10-30,6
1,Soft,2026-10-31,2026-12-16,47
2,Low,2026-12-17,2026-12-22,6
3,Shoulder,2026-12-23,2026-12-31,9
