tier_id,tier_label,lead_band,adr,revenue,revenue_share_of_tier,booking_count,room_nights,room_night_share_of_tier,occupancy_pct_of_tier_capacity,tier_occupancy_pct
1,Soft,0-7 days,74.99,66065.94,53.63,579,881,54.72,14.83,27.1
1,Soft,8-14 days,76.12,15605.3,12.67,100,205,12.73,3.45,27.1
1,Soft,15-30 days,76.89,18069.79,14.67,114,235,14.6,3.96,27.1
1,Soft,31-45 days,81.75,6621.52,5.37,43,81,5.03,1.36,27.1
1,Soft,46-60 days,75.35,3089.49,2.51,24,41,2.55,0.69,27.1
1,Soft,61-75 days,81.1,4541.81,3.69,28,56,3.48,0.94,27.1
1,Soft,76-90 days,79.7,2630.0,2.13,21,33,2.05,0.56,27.1
1,Soft,91-120 days,81.34,2684.29,2.18,24,33,2.05,0.56,27.1
1,Soft,121-180 days,86.32,3452.89,2.8,18,40,2.48,0.67,27.1
1,Soft,181-270 days,86.04,430.2,0.35,2,5,0.31,0.08,27.1
2,Low,0-7 days,76.14,103246.27,60.26,927,1356,61.47,22.83,37.14
2,Low,8-14 days,73.39,16953.3,9.89,127,231,10.47,3.89,37.14
2,Low,15-30 days,82.58,23038.71,13.45,143,279,12.65,4.7,37.14
2,Low,31-45 days,85.83,10728.35,6.26,74,125,5.67,2.1,37.14
2,Low,46-60 days,80.37,5143.96,3.0,35,64,2.9,1.08,37.14
2,Low,61-75 days,75.31,3012.58,1.76,20,40,1.81,0.67,37.14
2,Low,76-90 days,82.31,3374.59,1.97,26,41,1.86,0.69,37.14
2,Low,91-120 days,90.2,3157.12,1.84,15,35,1.59,0.59,37.14
2,Low,121-180 days,81.94,1720.7,1.0,11,21,0.95,0.35,37.14
2,Low,181-270 days,69.45,902.9,0.53,4,13,0.59,0.22,37.14
2,Low,271-365 days,61.0,61.0,0.04,1,1,0.05,0.02,37.14
3,Shoulder,0-7 days,92.31,163578.05,55.06,1196,1772,58.42,30.11,51.53
3,Shoulder,8-14 days,101.95,24264.02,8.17,153,238,7.85,4.04,51.53
3,Shoulder,15-30 days,95.98,31097.74,10.47,185,324,10.68,5.5,51.53
3,Shoulder,31-45 days,108.52,18990.73,6.39,106,175,5.77,2.97,51.53
3,Shoulder,46-60 days,113.8,15818.28,5.32,76,139,4.58,2.36,51.53
3,Shoulder,61-75 days,124.03,8806.36,2.96,37,71,2.34,1.21,51.53
3,Shoulder,76-90 days,93.82,8819.46,2.97,34,94,3.1,1.6,51.53
3,Shoulder,91-120 days,112.36,9101.48,3.06,52,81,2.67,1.38,51.53
3,Shoulder,121-180 days,122.74,10432.71,3.51,41,85,2.8,1.44,51.53
3,Shoulder,181-270 days,108.0,4751.9,1.6,22,44,1.45,0.75,51.53
3,Shoulder,271-365 days,141.58,1415.8,0.48,6,10,0.33,0.17,51.53
4,High,0-7 days,156.67,213858.12,38.23,1069,1365,37.45,23.08,61.64
4,High,8-14 days,155.29,48141.17,8.6,207,310,8.5,5.24,61.64
4,High,15-30 days,152.82,87259.96,15.6,343,571,15.67,9.66,61.64
4,High,31-45 days,150.29,54255.19,9.7,218,361,9.9,6.11,61.64
4,High,46-60 days,156.47,42560.98,7.61,162,272,7.46,4.6,61.64
4,High,61-75 days,140.87,32681.27,5.84,124,232,6.36,3.92,61.64
4,High,76-90 days,142.77,20558.69,3.67,81,144,3.95,2.44,61.64
4,High,91-120 days,154.77,23834.9,4.26,99,154,4.22,2.6,61.64
4,High,121-180 days,153.88,27851.75,4.98,94,181,4.97,3.06,61.64
4,High,181-270 days,148.94,6404.42,1.14,28,43,1.18,0.73,61.64
4,High,271-365 days,169.63,1696.3,0.3,5,10,0.27,0.17,61.64
4,High,365+ days,182.0,364.0,0.07,2,2,0.05,0.03,61.64
5,Peak,0-7 days,155.25,332693.7,43.05,1597,2143,42.61,36.24,85.05
5,Peak,8-14 days,158.93,90114.44,11.66,341,567,11.27,9.59,85.05
5,Peak,15-30 days,152.69,134824.01,17.45,498,883,17.56,14.93,85.05
5,Peak,31-45 days,150.35,59837.7,7.74,253,398,7.91,6.73,85.05
5,Peak,46-60 days,150.94,35772.75,4.63,153,237,4.71,4.01,85.05
5,Peak,61-75 days,154.52,34458.49,4.46,123,223,4.43,3.77,85.05
5,Peak,76-90 days,156.62,25841.74,3.34,98,165,3.28,2.79,85.05
5,Peak,91-120 days,142.87,25002.81,3.24,100,175,3.48,2.96,85.05
5,Peak,121-180 days,140.66,25459.08,3.29,104,181,3.6,3.06,85.05
5,Peak,181-270 days,147.99,7251.5,0.94,40,49,0.97,0.83,85.05
5,Peak,271-365 days,190.68,1525.4,0.2,5,8,0.16,0.14,85.05
