sweep_type,gap_score_basis,gap_threshold_value,quantile_fallback_tiers,selected_method,fallback_used,fallback_reason,final_tier_count,candidate_tiers_percentile_int,candidate_tiers_zscore,max_gap_percentile_int,max_gap_zscore,min_adjacent_step_revpar,avg_adjacent_step_revpar
gap_threshold,percentile_int,3.0,5,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,5,1,1,1.0,0.0443,58.18000000000001,172.6675
gap_threshold,percentile_int,4.0,5,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,5,1,1,1.0,0.0443,58.18000000000001,172.6675
gap_threshold,percentile_int,5.0,5,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,5,1,1,1.0,0.0443,58.18000000000001,172.6675
gap_threshold,percentile_int,6.0,5,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,5,1,1,1.0,0.0443,58.18000000000001,172.6675
gap_threshold,percentile_int,7.0,5,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,5,1,1,1.0,0.0443,58.18000000000001,172.6675
gap_threshold,percentile_int,8.0,5,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,5,1,1,1.0,0.0443,58.18000000000001,172.6675
gap_threshold,percentile_int,10.0,5,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,5,1,1,1.0,0.0443,58.18000000000001,172.6675
gap_threshold,revpar_zscore,3.0,5,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,5,1,1,1.0,0.0443,58.18000000000001,172.6675
gap_threshold,revpar_zscore,4.0,5,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,5,1,1,1.0,0.0443,58.18000000000001,172.6675
gap_threshold,revpar_zscore,5.0,5,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,5,1,1,1.0,0.0443,58.18000000000001,172.6675
gap_threshold,revpar_zscore,6.0,5,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,5,1,1,1.0,0.0443,58.18000000000001,172.6675
gap_threshold,revpar_zscore,7.0,5,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,5,1,1,1.0,0.0443,58.18000000000001,172.6675
gap_threshold,revpar_zscore,8.0,5,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,5,1,1,1.0,0.0443,58.18000000000001,172.6675
gap_threshold,revpar_zscore,10.0,5,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,5,1,1,1.0,0.0443,58.18000000000001,172.6675
quantile_tier_count,percentile_int,6.0,5,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,5,1,1,1.0,0.0443,58.18000000000001,172.6675
quantile_tier_count,percentile_int,6.0,6,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,6,1,1,1.0,0.0443,35.16999999999999,144.518
quantile_tier_count,percentile_int,6.0,7,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,7,1,1,1.0,0.0443,38.53999999999999,126.51166666666667
quantile_tier_count,percentile_int,6.0,8,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,8,1,1,1.0,0.0443,26.590000000000003,111.37
quantile_tier_count,percentile_int,6.0,9,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,9,1,1,1.0,0.0443,21.069999999999993,99.01875000000001
quantile_tier_count,percentile_int,6.0,10,quantile_fallback,True,gap_detection_invalid_or_out_of_bounds,10,1,1,1.0,0.0443,20.829999999999984,89.0
