unit_id,month_index,month_name,day_of_week,base_standard_queen,room_offset,draft_adr,notes
Small Queen,7,July,Monday,160,-20,140,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Small Queen,7,July,Tuesday,160,-20,140,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Small Queen,7,July,Wednesday,160,-20,140,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Small Queen,7,July,Thursday,165,-20,145,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Small Queen,7,July,Friday,195,-20,175,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Small Queen,7,July,Saturday,195,-20,175,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Small Queen,7,July,Sunday,165,-20,145,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen,7,July,Monday,160,0,160,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen,7,July,Tuesday,160,0,160,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen,7,July,Wednesday,160,0,160,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen,7,July,Thursday,165,0,165,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen,7,July,Friday,195,0,195,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen,7,July,Saturday,195,0,195,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen,7,July,Sunday,165,0,165,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard King,7,July,Monday,160,7,167,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard King,7,July,Tuesday,160,7,167,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard King,7,July,Wednesday,160,7,167,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard King,7,July,Thursday,165,7,172,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard King,7,July,Friday,195,7,202,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard King,7,July,Saturday,195,7,202,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard King,7,July,Sunday,165,7,172,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Double Queen,7,July,Monday,160,18,178,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Double Queen,7,July,Tuesday,160,18,178,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Double Queen,7,July,Wednesday,160,18,178,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Double Queen,7,July,Thursday,165,18,183,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Double Queen,7,July,Friday,195,18,213,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Double Queen,7,July,Saturday,195,18,213,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Double Queen,7,July,Sunday,165,18,183,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen with Kitchen,7,July,Monday,160,10,170,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen with Kitchen,7,July,Tuesday,160,10,170,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen with Kitchen,7,July,Wednesday,160,10,170,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen with Kitchen,7,July,Thursday,165,10,175,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen with Kitchen,7,July,Friday,195,10,205,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen with Kitchen,7,July,Saturday,195,10,205,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen with Kitchen,7,July,Sunday,165,10,175,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Small Queen,8,August,Monday,158,-20,138,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Small Queen,8,August,Tuesday,158,-20,138,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Small Queen,8,August,Wednesday,158,-20,138,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Small Queen,8,August,Thursday,178,-20,158,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Small Queen,8,August,Friday,200,-20,180,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Small Queen,8,August,Saturday,200,-20,180,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Small Queen,8,August,Sunday,178,-20,158,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen,8,August,Monday,158,0,158,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen,8,August,Tuesday,158,0,158,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen,8,August,Wednesday,158,0,158,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
Standard Queen,8,August,Thursday,178,0,178,Thu=Sun by policy; Jul/Sep share DOW shape; offsets from 2025 summer ADR vs Queen
