booking_window,lead_time_min,lead_time_max,bookings,revenue,share_of_revenue_pct,share_of_bookings_pct,room_nights
0-7 days,0,7.0,158,163437.17,26.46,39.9,446
8-14 days,8,14.0,52,70933.7,11.48,13.13,154
15-30 days,15,30.0,78,125697.53,20.35,19.7,257
31-45 days,31,45.0,28,51988.78,8.42,7.07,88
46-60 days,46,60.0,15,27064.23,4.38,3.79,47
61-75 days,61,75.0,9,19325.19,3.13,2.27,27
76-90 days,76,90.0,9,20627.44,3.34,2.27,26
91-120 days,91,120.0,9,20849.02,3.38,2.27,29
121-180 days,121,180.0,25,71454.91,11.57,6.31,81
181-270 days,181,270.0,6,19133.08,3.1,1.52,21
271-365 days,271,365.0,5,15012.47,2.43,1.26,17
365+ days,366,,2,12189.15,1.97,0.51,10
