date,revenue,room_nights,bookings,active_units_count,contributing_units_count,excluded_units_count,adr,occupancy_pct,revpar,revpar_smoothed,contributing_units_min_14d,contributing_units_max_14d,composition_shift_flag,revpar_percentile,base_tier_id,base_tier_label,tier_id,tier_label,tier_method
2023-12-01,0.0,0.0,0.0,2,2,0,,0.0,92.43777805555555,52.3677779936508,2.0,2.0,False,1.125703564727955,1,Tier 1,1,Soft,quantile_fallback
2023-12-02,0.0,0.0,0.0,2,2,0,,0.0,0.0,45.82180574444445,2.0,2.0,False,0.37523452157598497,1,Tier 1,1,Soft,quantile_fallback
2023-12-03,0.0,0.0,0.0,2,2,0,,0.0,0.0,40.73049399506173,2.0,2.0,False,0.09380863039399624,1,Tier 1,1,Soft,quantile_fallback
2023-12-04,0.0,0.0,0.0,2,2,0,,0.0,0.0,41.46161126222222,2.0,2.0,False,0.18761726078799248,1,Tier 1,1,Soft,quantile_fallback
2023-12-05,0.0,0.0,0.0,2,2,0,,0.0,79.26750183333333,42.05979811717172,2.0,2.0,False,0.28142589118198874,1,Tier 1,1,Soft,quantile_fallback
2023-12-06,0.0,0.0,0.0,2,2,0,,0.0,137.06833395,48.57625014768519,2.0,2.0,False,0.46904315196998125,1,Tier 1,1,Soft,quantile_fallback
2023-12-07,0.0,0.0,0.0,2,2,0,,0.0,57.80083211666667,54.090171096581194,2.0,2.0,False,1.2195121951219512,1,Tier 1,1,Soft,quantile_fallback
2023-12-08,0.0,0.0,0.0,2,2,0,,0.0,0.0,58.81638905277777,2.0,2.0,False,1.4071294559099436,1,Tier 1,1,Soft,quantile_fallback
2023-12-09,0.0,0.0,0.0,2,2,0,,0.0,0.0,52.21369062023809,2.0,2.0,False,0.797373358348968,1,Tier 1,1,Soft,quantile_fallback
2023-12-10,0.0,0.0,0.0,2,2,0,,0.0,48.041666666666664,52.21369062023809,2.0,2.0,False,0.797373358348968,1,Tier 1,1,Soft,quantile_fallback
2023-12-11,0.0,0.0,0.0,2,2,0,,0.0,48.041666666666664,63.08133976011904,2.0,2.0,False,1.876172607879925,1,Tier 1,1,Soft,quantile_fallback
2023-12-12,0.0,0.0,0.0,2,2,0,,0.0,120.25722248333334,73.9489889,2.0,2.0,False,2.1575984990619137,1,Tier 1,1,Soft,quantile_fallback
2023-12-13,0.0,0.0,0.0,2,2,0,,0.0,120.25722248333334,79.1546736232143,2.0,2.0,False,3.0018761726078798,1,Tier 1,1,Soft,quantile_fallback
2023-12-14,0.0,0.0,0.0,2,2,0,,0.0,120.25722248333334,77.83369155238096,2.0,2.0,False,2.4390243902439024,1,Tier 1,1,Soft,quantile_fallback
2023-12-15,0.0,0.0,0.0,2,2,0,,0.0,0.0,82.76392982142856,2.0,2.0,False,3.377110694183865,1,Tier 1,1,Soft,quantile_fallback
2023-12-16,0.0,0.0,0.0,2,2,0,,0.0,0.0,87.47012038452381,2.0,2.0,False,3.6585365853658534,1,Tier 1,1,Soft,quantile_fallback
2023-12-17,0.0,0.0,0.0,2,2,0,,0.0,152.14708795833334,97.14098358273809,2.0,2.0,False,4.033771106941838,1,Tier 1,1,Soft,quantile_fallback
2023-12-18,0.0,0.0,0.0,2,2,0,,0.0,152.14708795833334,113.23994228095238,2.0,2.0,False,4.784240150093809,1,Tier 1,1,Soft,quantile_fallback
2023-12-19,0.0,0.0,0.0,2,2,0,,0.0,152.14708795833334,130.26322086301022,2.0,2.0,False,6.191369606003752,1,Tier 1,1,Soft,quantile_fallback
2023-12-20,0.0,0.0,0.0,2,2,0,,0.0,118.57458495833333,132.26860233911566,2.0,2.0,False,6.75422138836773,1,Tier 1,1,Soft,quantile_fallback
2023-12-21,0.0,0.0,0.0,2,2,0,,0.0,126.82416788333335,135.21300145708616,2.0,2.0,False,7.5046904315197,1,Tier 1,1,Soft,quantile_fallback
2023-12-22,0.0,0.0,0.0,2,2,0,,0.0,65.88666788333333,138.1574005750567,2.0,2.0,False,8.630393996247655,1,Tier 1,1,Soft,quantile_fallback
2023-12-23,0.0,0.0,0.0,2,2,0,,0.0,135.392084775,149.6916012989796,2.0,2.0,False,9.75609756097561,1,Tier 1,1,Soft,quantile_fallback
2023-12-24,828.210022,1.0,1.0,2,2,0,828.21,50.0,273.4270884416667,165.93657591556124,2.0,2.0,False,11.350844277673545,1,Tier 1,1,Soft,quantile_fallback
2023-12-25,828.210022,1.0,0.0,2,2,0,828.21,50.0,286.3675668154762,180.55550833154763,2.0,2.0,False,13.133208255159476,1,Tier 1,1,Soft,quantile_fallback
2023-12-26,0.0,0.0,0.0,2,2,0,,0.0,148.33256314880953,183.5654186720238,2.0,2.0,False,14.915572232645403,1,Tier 1,1,Soft,quantile_fallback
2023-12-27,0.0,0.0,0.0,2,2,0,,0.0,161.47881013492065,183.93586513392856,2.0,2.0,False,15.47842401500938,1,Tier 1,1,Soft,quantile_fallback
2023-12-28,0.0,0.0,0.0,2,2,0,,0.0,161.47881013492065,202.82649933730158,2.0,2.0,False,21.200750469043154,2,Tier 2,2,Low,quantile_fallback
2023-12-29,0.0,0.0,0.0,2,2,0,,0.0,161.47881013492065,221.1278776174603,2.0,2.0,False,25.797373358348967,2,Tier 2,2,Low,quantile_fallback
2023-12-30,911.28500365,2.0,2.0,2,2,0,455.64,100.0,227.42964463214287,243.78193446904763,2.0,2.0,False,37.99249530956848,2,Tier 2,2,Low,quantile_fallback
2023-12-31,911.28500365,2.0,0.0,2,2,0,455.64,100.0,356.8121417821428,256.211001564881,2.0,2.0,False,42.30769230769231,3,Tier 3,3,Shoulder Low,quantile_fallback
2024-01-01,0.0,0.0,0.0,2,2,0,,0.0,194.285832725,244.57759845238095,2.0,2.0,False,38.27392120075047,2,Tier 2,2,Low,quantile_fallback
2024-01-02,0.0,0.0,0.0,2,2,0,,0.0,157.333338425,232.0198754560374,2.0,2.0,False,31.238273921200747,2,Tier 2,2,Low,quantile_fallback
2024-01-03,1193.0374755,2.0,2.0,2,2,0,596.52,100.0,383.0434638055556,231.95731130612245,2.0,2.0,False,30.95684803001876,2,Tier 2,2,Low,quantile_fallback
2024-01-04,1193.0374755,2.0,0.0,2,2,0,596.52,100.0,383.0434638055556,230.9557295143424,2.0,2.0,False,30.393996247654787,2,Tier 2,2,Low,quantile_fallback
