date,unit_id,active,listing_start_date,start_date_source,out_of_window,property_revenue,property_room_nights,bookings,property_revpar,month_day,listing_revpar_doy_avg,contributing_year_count,data_years_contributing,insufficient_data,tier_id,tier_label
2023-12-01,Malvern,True,2023-12-01,config,False,0.0,0.0,0.0,0.0,12-01,0.0,3,"2023,2024,2025",False,1,Soft
2023-12-02,Malvern,True,2023-12-01,config,False,0.0,0.0,0.0,0.0,12-02,0.0,3,"2023,2024,2025",False,1,Soft
2023-12-03,Malvern,True,2023-12-01,config,False,0.0,0.0,0.0,0.0,12-03,0.0,3,"2023,2024,2025",False,1,Soft
2023-12-04,Malvern,True,2023-12-01,config,False,0.0,0.0,0.0,0.0,12-04,0.0,3,"2023,2024,2025",False,1,Soft
2023-12-05,Malvern,True,2023-12-01,config,False,0.0,0.0,0.0,0.0,12-05,0.0,3,"2023,2024,2025",False,1,Soft
2023-12-06,Malvern,True,2023-12-01,config,False,0.0,0.0,0.0,0.0,12-06,0.0,3,"2023,2024,2025",False,1,Soft
2023-12-07,Malvern,True,2023-12-01,config,False,0.0,0.0,0.0,0.0,12-07,0.0,3,"2023,2024,2025",False,1,Soft
2023-12-08,Malvern,True,2023-12-01,config,False,0.0,0.0,0.0,0.0,12-08,0.0,3,"2023,2024,2025",False,1,Soft
2023-12-09,Malvern,True,2023-12-01,config,False,0.0,0.0,0.0,0.0,12-09,0.0,3,"2023,2024,2025",False,1,Soft
2023-12-10,Malvern,True,2023-12-01,config,False,0.0,0.0,0.0,0.0,12-10,0.0,3,"2023,2024,2025",False,1,Soft
2023-12-11,Malvern,True,2023-12-01,config,False,0.0,0.0,0.0,0.0,12-11,0.0,3,"2023,2024,2025",False,1,Soft
2023-12-12,Malvern,True,2023-12-01,config,False,0.0,0.0,0.0,0.0,12-12,0.0,3,"2023,2024,2025",False,1,Soft
2023-12-13,Malvern,True,2023-12-01,config,False,0.0,0.0,0.0,0.0,12-13,0.0,3,"2023,2024,2025",False,1,Soft
2023-12-14,Malvern,True,2023-12-01,config,False,0.0,0.0,0.0,0.0,12-14,0.0,3,"2023,2024,2025",False,1,Soft
