unit_id,season,season_order,season_revenue,season_room_nights,season_bookings,season_adr,season_revpar,season_days,season_score_1_10,season_percentile
Malvern,Soft,1,7557.3999326,21.0,7.0,359.88,35.15,215,1.0,0.0
Sunstrip,Soft,1,50261.452171578574,111.0,38.0,452.81,233.77,215,10.0,100.0
Malvern,Low,2,7339.005180133333,21.0,8.0,349.48,34.62,212,1.0,0.0
Sunstrip,Low,2,88699.05046307857,168.0,56.0,527.97,418.39,212,10.0,100.0
Malvern,Shoulder Low,3,25232.563134509524,69.0,27.0,365.69,117.91,214,1.0,0.0
Sunstrip,Shoulder Low,3,103080.22092669761,201.0,65.0,512.84,481.68,214,10.0,100.0
Malvern,Shoulder High,4,37040.412821090475,89.0,27.0,416.18,174.72,212,1.0,0.0
Sunstrip,Shoulder High,4,104340.07025162857,194.0,72.0,537.84,492.17,212,10.0,100.0
Malvern,High,5,49509.378575066665,112.0,32.0,442.05,232.44,213,1.0,0.0
Sunstrip,High,5,150936.23588581666,237.0,71.0,636.86,708.62,213,10.0,100.0
