year_month,revenue,room_nights,adr,bookings,occupancy_pct,revpar
2023-12,3478.9900513000002,6,579.83,3,9.68,56.11
2024-01,13087.109863,21,623.2,7,33.87,211.08
2024-02,25311.0299974,49,516.55,17,84.48,436.4
2024-03,35724.840211,66,541.29,22,106.45,576.21
2024-04,33939.1901848,64,530.3,23,106.67,565.65
2024-05,34838.390137,62,561.91,20,100.0,561.91
2024-06,25859.7597646,66,391.81,24,110.0,431.0
2024-07,34404.1699821,80,430.05,26,129.03,554.91
2024-08,13626.4300534,32,425.83,10,51.61,219.78
2024-09,21000.6697989,48,437.51,18,80.0,350.01
2024-10,40459.1799926,61,663.27,15,98.39,652.57
2024-11,13578.2200936,26,522.24,8,43.33,226.3
2024-12,8118.8001097999995,20,405.94,6,32.26,130.95
2025-01,11947.3898935,25,477.9,8,40.32,192.7
2025-02,10638.2799691,16,664.89,5,28.57,189.97
2025-03,15262.3400273,27,565.27,8,43.55,246.17
2025-04,13417.0795901,21,638.91,8,35.0,223.62
2025-05,19120.8900757,27,708.18,10,43.55,308.4
2025-06,15869.5100404,30,528.98,10,50.0,264.49
2025-07,19335.9700935,47,411.4,12,75.81,311.87
2025-08,13793.520019399999,25,551.74,8,40.32,222.48
2025-09,12954.429993400001,25,518.18,8,41.67,215.91
2025-10,24256.6298217,37,655.58,12,59.68,391.24
2025-11,14394.5499272,29,496.36,9,48.33,239.91
2025-12,9644.000061499999,23,419.3,9,37.1,155.55
2026-01,13387.0201422,31,431.84,9,50.0,215.92
2026-02,10241.8900148,21,487.71,9,37.5,182.89
2026-03,27803.9700022,55,505.53,15,88.71,448.45
2026-04,10816.3598323,25,432.65,9,41.67,180.27
2026-05,16352.3699033,31,527.5,12,50.0,263.75
2026-06,14542.1701063,32,454.44,13,53.33,242.37
2026-07,18963.3598026,43,441.01,13,69.35,305.86
2026-08,9985.9499512,24,416.08,9,38.71,161.06
2026-09,11667.239991,21,555.58,6,35.0,194.45
2026-10,6174.089844,7,882.01,2,11.29,99.58
