month_index,month_name,avg_basis_year_count,revenue,room_nights,adr,bookings,occupancy_pct,revpar,performance_score_1_10,performance_rank_provisional,rank_filter_min_arrival,rank_filter_max_arrival
1,January,3,12807.17,25.67,498.92,8.0,55.2,275.42,3,False,,
2,February,3,15397.07,28.67,537.04,10.33,67.46,362.28,5,False,,
3,March,3,26263.72,49.33,532.41,15.0,106.09,564.81,10,False,,
4,April,3,19390.88,36.67,528.79,13.33,81.49,430.91,7,False,,
5,May,3,23437.22,40.0,585.93,14.0,86.02,504.03,8,False,,
6,June,3,18757.15,42.67,439.59,15.67,94.82,416.83,6,False,,
7,July,3,24234.5,56.67,427.64,17.0,121.87,521.17,9,False,,
8,August,3,12468.63,27.0,461.8,9.0,58.06,268.14,2,False,,
9,September,3,15207.45,31.33,485.4,10.67,69.62,337.94,4,False,,
10,October,3,23629.97,35.0,675.14,9.67,75.27,508.17,8,False,,
11,November,2,13986.39,27.5,508.6,8.5,61.11,310.81,3,False,,
12,December,3,7080.6,16.33,433.59,6.0,26.34,114.2,1,False,,
