tier_id,tier_label,lead_band,adr,revenue,revenue_share_of_tier,booking_count,room_nights,room_night_share_of_tier,occupancy_pct_of_tier_capacity,tier_occupancy_pct
1,Soft,0-7 days,396.93,24609.67,42.25,22,62,46.62,14.42,30.93
1,Soft,8-14 days,396.4,7531.67,12.93,6,19,14.29,4.42,30.93
1,Soft,15-30 days,446.43,16517.86,28.36,11,37,27.82,8.6,30.93
1,Soft,31-45 days,665.66,3993.93,6.86,2,6,4.51,1.4,30.93
1,Soft,76-90 days,528.4,1585.21,2.72,1,3,2.26,0.7,30.93
1,Soft,91-120 days,430.33,1291.0,2.22,1,3,2.26,0.7,30.93
1,Soft,181-270 days,904.01,2712.04,4.66,1,3,2.26,0.7,30.93
2,Low,0-7 days,347.07,22906.45,22.92,26,66,34.55,15.57,45.05
2,Low,8-14 days,468.2,5618.42,5.62,4,12,6.28,2.83,45.05
2,Low,15-30 days,509.54,18343.5,18.36,10,36,18.85,8.49,45.05
2,Low,31-45 days,505.13,7577.01,7.58,5,15,7.85,3.54,45.05
2,Low,46-60 days,718.31,4309.84,4.31,2,6,3.14,1.42,45.05
2,Low,61-75 days,516.8,5167.99,5.17,3,10,5.24,2.36,45.05
2,Low,91-120 days,857.95,2573.84,2.58,1,3,1.57,0.71,45.05
2,Low,121-180 days,777.29,28759.77,28.78,11,37,19.37,8.73,45.05
2,Low,271-365 days,778.48,4670.9,4.67,2,6,3.14,1.42,45.05
3,Shoulder Low,0-7 days,375.67,34561.9,27.71,35,92,35.52,21.5,60.51
3,Shoulder Low,8-14 days,387.23,11617.01,9.32,13,30,11.58,7.01,60.51
3,Shoulder Low,15-30 days,428.77,25297.7,20.29,19,59,22.78,13.79,60.51
3,Shoulder Low,31-45 days,597.59,16732.42,13.42,8,28,10.81,6.54,60.51
3,Shoulder Low,61-75 days,388.15,1552.59,1.24,1,4,1.54,0.93,60.51
3,Shoulder Low,76-90 days,466.05,4194.45,3.36,3,9,3.47,2.1,60.51
3,Shoulder Low,91-120 days,797.34,7176.07,5.75,3,9,3.47,2.1,60.51
3,Shoulder Low,121-180 days,800.26,12804.1,10.27,5,16,6.18,3.74,60.51
3,Shoulder Low,181-270 days,716.23,2864.92,2.3,1,4,1.54,0.93,60.51
3,Shoulder Low,271-365 days,988.13,7905.05,6.34,2,8,3.09,1.87,60.51
4,Shoulder High,0-7 days,339.96,31955.95,23.3,36,94,33.81,22.17,65.57
4,Shoulder High,8-14 days,434.92,10872.92,7.93,9,25,8.99,5.9,65.57
4,Shoulder High,15-30 days,499.41,44447.52,32.41,28,89,32.01,20.99,65.57
4,Shoulder High,31-45 days,585.97,15235.11,11.11,9,26,9.35,6.13,65.57
4,Shoulder High,46-60 days,567.5,8512.53,6.21,5,15,5.4,3.54,65.57
4,Shoulder High,61-75 days,730.27,3651.33,2.66,2,5,1.8,1.18,65.57
4,Shoulder High,76-90 days,893.35,2680.05,1.95,1,3,1.08,0.71,65.57
4,Shoulder High,91-120 days,967.98,2903.94,2.12,1,3,1.08,0.71,65.57
4,Shoulder High,121-180 days,974.4,11692.77,8.53,4,12,4.32,2.83,65.57
4,Shoulder High,181-270 days,914.33,2742.98,2.0,1,3,1.08,0.71,65.57
4,Shoulder High,271-365 days,812.17,2436.52,1.78,1,3,1.08,0.71,65.57
5,High,0-7 days,374.27,49403.2,24.99,39,132,38.6,30.99,80.28
5,High,8-14 days,519.02,35293.68,17.85,20,68,19.88,15.96,80.28
5,High,15-30 days,585.86,21090.95,10.67,10,36,10.53,8.45,80.28
5,High,31-45 days,650.02,8450.31,4.27,4,13,3.8,3.05,80.28
5,High,46-60 days,547.76,14241.86,7.2,8,26,7.6,6.1,80.28
5,High,61-75 days,1119.16,8953.28,4.53,3,8,2.34,1.88,80.28
5,High,76-90 days,1106.16,12167.73,6.15,4,11,3.22,2.58,80.28
5,High,91-120 days,627.65,6904.17,3.49,3,11,3.22,2.58,80.28
5,High,121-180 days,1137.39,18198.27,9.2,5,16,4.68,3.76,80.28
5,High,181-270 days,983.01,10813.14,5.47,3,11,3.22,2.58,80.28
5,High,365+ days,1218.91,12189.15,6.17,2,10,2.92,2.35,80.28
