unit_id,month_index,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Malvern,1,268.0,268.0,268.0,317.0,373.0,373.0,292.0
Malvern,2,309.0,309.0,309.0,357.0,406.0,406.0,333.0
Malvern,3,410.0,410.0,410.0,459.0,508.0,508.0,434.0
Malvern,4,349.0,349.0,349.0,398.0,447.0,447.0,374.0
Malvern,5,369.0,369.0,369.0,418.0,467.0,467.0,394.0
Malvern,6,309.0,309.0,309.0,357.0,406.0,406.0,333.0
Malvern,7,268.0,268.0,268.0,317.0,373.0,373.0,292.0
Malvern,8,268.0,268.0,268.0,317.0,373.0,373.0,292.0
Malvern,9,227.0,227.0,227.0,276.0,325.0,325.0,252.0
Malvern,10,410.0,410.0,410.0,459.0,508.0,508.0,434.0
Malvern,11,369.0,369.0,369.0,418.0,467.0,467.0,394.0
Malvern,12,261.0,261.0,261.0,317.0,373.0,373.0,289.0
Sunstrip,1,388.0,388.0,388.0,453.0,519.0,519.0,420.0
Sunstrip,2,442.0,442.0,442.0,508.0,573.0,573.0,475.0
Sunstrip,3,579.0,579.0,579.0,644.0,710.0,710.0,611.0
Sunstrip,4,497.0,497.0,497.0,562.0,628.0,628.0,530.0
Sunstrip,5,524.0,524.0,524.0,590.0,655.0,655.0,557.0
Sunstrip,6,442.0,442.0,442.0,508.0,573.0,573.0,475.0
Sunstrip,7,388.0,388.0,388.0,453.0,519.0,519.0,420.0
Sunstrip,8,388.0,388.0,388.0,453.0,519.0,519.0,420.0
Sunstrip,9,333.0,333.0,333.0,399.0,464.0,464.0,366.0
Sunstrip,10,579.0,579.0,579.0,644.0,710.0,710.0,611.0
Sunstrip,11,524.0,524.0,524.0,590.0,655.0,655.0,557.0
Sunstrip,12,333.0,333.0,333.0,399.0,464.0,464.0,366.0
