unit_id,year_month,bookings,room_nights,revenue,adr,min_adr,max_adr,p05_adr,p95_adr
Bluebonnet,2025-01,6,9,2404.42,267.16,184.64,344.0,192.83,331.5
Sage Safari,2025-01,8,10,3583.87,358.39,213.0,484.0,223.85,470.0
Lantana Dome,2025-01,6,8,2564.23,320.53,243.5,484.0,244.44,447.75
Spyglass,2025-01,7,7,2774.0,396.29,275.0,525.0,286.7,502.8
Pecan Haus,2025-01,7,9,1846.52,205.17,164.0,244.0,169.56,241.0
Buckeye Bungalow,2025-01,8,10,2943.7799999999997,294.38,213.0,409.0,214.54,402.35
Cedar Haus,2025-01,5,5,1216.45,243.29,156.45,314.0,168.76,310.0
Walnut House,2025-01,5,7,3388.0,484.0,274.0,784.0,274.0,744.0
Monarch,2025-01,6,7,3062.33,437.48,304.0,627.33,304.62,604.0
Live Oak Lodge,2025-01,6,6,2984.24,497.37,259.24,834.0,262.93,792.5
Juniper Haus,2025-01,7,10,2197.95,219.8,164.0,344.0,166.21,313.9
Cocoon,2025-01,2,3,784.0,261.33,213.0,285.5,216.62,281.88
Sage Safari,2025-02,13,21,9705.58,462.17,211.8,764.0,226.92,743.89
Monarch,2025-02,10,16,6993.65,437.1,305.0,683.1625,309.05,582.29
Spyglass,2025-02,10,18,8813.0,489.61,274.0,1032.0,287.5,1028.4
Pecan Haus,2025-02,9,12,3535.91,294.66,188.5,354.5,198.86,351.9
Live Oak Lodge,2025-02,18,24,11416.86,475.7,252.0,1297.045,267.1,708.81
Cedar Haus,2025-02,12,20,5879.47,293.97,176.3,529.09,187.26,486.14
Lantana Dome,2025-02,15,24,9400.08,391.67,217.39,1110.465,222.98,778.34
Cocoon,2025-02,13,21,7457.17,355.1,210.1,604.0,235.84,592.0
Bluebonnet,2025-02,7,10,2442.81,244.28,215.0,278.3333333333333,215.12,271.03
Walnut House,2025-02,12,21,11960.93,569.57,294.0,1659.0,294.0,1174.45
Juniper Haus,2025-02,7,8,1784.71,223.09,188.0,365.0,190.02,324.8
Buckeye Bungalow,2025-02,10,15,6763.0,450.87,244.0,790.0,262.45,750.85
Bluebonnet,2025-03,13,25,10199.12,407.96,176.92,765.0,214.17,592.4
Monarch,2025-03,17,27,17448.93,646.26,304.0,1334.0,342.4,1005.57
Live Oak Lodge,2025-03,12,29,16445.31,567.08,226.365,924.0,250.91,922.35
Buckeye Bungalow,2025-03,13,23,10622.66,461.85,211.66,798.0,222.66,778.2
Sage Safari,2025-03,14,24,11225.279999999999,467.72,227.0,876.0,228.95,715.77
Cocoon,2025-03,15,24,12494.74,520.61,212.42,808.0,229.85,802.4
Spyglass,2025-03,16,30,17781.0,592.7,256.5,1302.0,260.62,1124.25
Juniper Haus,2025-03,15,23,8730.24,379.58,201.0,833.0,211.93,656.24
Pecan Haus,2025-03,17,26,9172.11,352.77,186.0,833.0,198.0,649.0
Lantana Dome,2025-03,12,23,12172.369999999999,529.23,224.37,847.0,236.27,835.45
Walnut House,2025-03,14,23,14430.85,627.43,281.0,1029.0,302.94,957.5
Cedar Haus,2025-03,15,22,7911.62,359.62,183.22,640.5,197.77,595.35
Monarch,2025-04,17,31,22881.25,738.1,257.5,2229.0,292.3,1289.4
Bluebonnet,2025-04,13,24,9893.32,412.22,199.0,806.0,209.2,764.9
Spyglass,2025-04,16,21,13505.78,643.13,300.0,1345.39,310.5,1122.35
Cedar Haus,2025-04,14,21,6638.21,316.11,181.0,495.75,181.0,460.03
Lantana Dome,2025-04,14,23,11034.84,479.78,213.0,849.5,239.0,838.12
Cocoon,2025-04,12,22,11930.95,542.32,244.0,1208.0,246.75,1019.07
Walnut House,2025-04,15,21,14051.85,669.14,232.34,2229.0,259.4,1275.37
Live Oak Lodge,2025-04,12,20,13325.91,666.3,230.5,1290.0,270.92,1290.0
Pecan Haus,2025-04,15,22,8575.44,389.79,181.0,652.0,181.0,649.2
Sage Safari,2025-04,18,24,11830.78,492.95,168.78,1195.0,207.22,866.05
Juniper Haus,2025-04,18,24,7542.39,314.27,160.755,769.0,177.96,556.5
Buckeye Bungalow,2025-04,13,23,10467.52,455.11,186.52,864.5,194.91,830.6
Live Oak Lodge,2025-05,18,31,17454.7,563.05,178.775,1402.0,219.23,925.43
Juniper Haus,2025-05,16,23,7916.29,344.19,195.8,533.0,196.62,502.0
Monarch,2025-05,12,19,11818.4,622.02,303.0,1188.0,321.15,1110.45
Lantana Dome,2025-05,20,27,13210.18,489.27,225.5,1334.0,236.01,857.1
Pecan Haus,2025-05,13,27,9046.49,335.06,196.0,623.0,200.8,561.2
Sage Safari,2025-05,16,30,14365.07,478.84,243.0,1000.0,294.0,764.5
Spyglass,2025-05,17,27,15846.57,586.91,237.5,1145.0,258.7,1087.93
Buckeye Bungalow,2025-05,14,25,12413.19,496.53,234.0,1134.0,234.0,867.99
Bluebonnet,2025-05,10,19,7695.72,405.04,234.0,686.0,238.5,651.77
Walnut House,2025-05,13,23,12881.0,560.04,253.0,994.0,259.6,923.2
Cedar Haus,2025-05,16,24,7225.06,301.04,178.775,601.0,186.44,553.0
Cocoon,2025-05,14,24,11751.0,489.62,225.5,874.6666666666666,237.52,817.03
Cocoon,2025-06,14,26,9686.59,372.56,196.58,519.0,254.38,519.0
Sage Safari,2025-06,15,27,12241.7,453.4,218.2,749.0,253.48,743.4
Spyglass,2025-06,14,24,12517.52,521.56,254.0,1031.0,292.35,885.4
