booking_window,lead_time_min,lead_time_max,bookings,revenue,share_of_revenue_pct,share_of_bookings_pct,room_nights
0-7 days,0,7.0,2214,1197338.0,32.29,47.72,3218
8-14 days,8,14.0,724,556392.0,15.01,15.6,1261
15-30 days,15,30.0,821,767159.0,20.69,17.69,1554
31-45 days,31,45.0,373,431893.0,11.65,8.04,761
46-60 days,46,60.0,143,206781.0,5.58,3.08,335
61-75 days,61,75.0,94,147194.0,3.97,2.03,237
76-90 days,76,90.0,78,119950.0,3.24,1.68,182
91-120 days,91,120.0,82,109729.0,2.96,1.77,200
121-180 days,121,180.0,68,104375.0,2.82,1.47,169
181-270 days,181,270.0,34,51351.0,1.39,0.73,91
271-365 days,271,365.0,7,12470.0,0.34,0.15,17
365+ days,366,,2,2909.0,0.08,0.04,5
