unit_id,channel,bookings,revenue,room_nights,share_of_revenue_pct,share_of_bookings_pct,adr
Spyglass,Airbnb,32,18432.98,43,6.25,10.49,428.67
Monarch,Airbnb,42,32653.559999999998,67,11.62,15.05,487.37
Buckeye Bungalow,Airbnb,22,16546.93,35,9.71,9.21,472.77
Lantana Dome,Airbnb,25,17215.63,41,9.17,9.26,419.89
Live Oak Lodge,Airbnb,26,22375.18,40,7.56,9.42,559.38
Sage Safari,Airbnb,30,21577.55,46,8.52,9.43,469.08
Cedar Haus,Airbnb,55,22626.42,81,19.71,24.34,279.34
Juniper Haus,Airbnb,45,15770.17,62,17.21,24.32,254.36
Walnut House,Airbnb,33,20667.02,52,7.88,11.46,397.44
Cocoon,Airbnb,5,2169.0,8,1.68,2.7,271.12
Bluebonnet,Airbnb,4,1662.92,6,1.12,1.83,277.15
Great Lodge: King Room,Airbnb,57,44765.28,105,9.45,7.36,426.34
Pecan Haus,Airbnb,5,2753.24,8,2.64,2.7,344.16
Post Oak,Airbnb,3,5817.95,4,4.1,1.43,1454.49
Cypress Lodge | Sleeps 6,Airbnb,4,3905.2,7,4.27,5.13,557.89
Spiral,Airbnb,6,4380.65,8,2.83,3.14,547.58
Winecup,Airbnb,8,6471.95,12,3.65,3.51,539.33
Quonset,Airbnb,11,8892.92,20,3.91,3.73,444.65
Cypress Lodge | Sleeps 2,Airbnb,7,4132.51,12,2.54,2.66,344.38
Cypress Lodge | Sleeps 4,Airbnb,8,6086.77,12,4.48,5.41,507.23
Great Lodge,Airbnb,6,42975.33,14,62.97,50.0,3069.67
Monolith,Airbnb,13,11648.86,22,2.47,3.13,529.49
Diamond,Airbnb,24,26828.83,47,5.95,4.93,570.83
Cedar Haus,Booking.com,7,3313.1800000000003,10,2.89,3.1,331.32
Spyglass,Booking.com,6,7653.08,10,2.59,1.97,765.31
Walnut House,Booking.com,2,1905.29,3,0.73,0.69,635.1
Pecan Haus,Booking.com,5,1762.97,5,1.69,2.7,352.59
