channel,year,bookings,revenue,room_nights,share_of_revenue_pct,share_of_bookings_pct,adr
Expedia,2025,261,134615.06,396,6.05,9.22,339.94
Direct,2025,2188,1845147.3,3833,82.91,77.26,481.38
Airbnb,2025,343,220604.72,536,9.91,12.11,411.58
Direct,2026,2496,2188847.36,4616,82.16,76.94,474.19
Booking.com,2025,32,24454.65,45,1.1,1.13,543.44
Airbnb,2026,128,139752.13,216,5.25,3.95,647.0
Email,2025,8,560.0,16,0.03,0.28,35.0
Expedia,2026,517,265262.67,843,9.96,15.94,314.67
Booking.com,2026,97,67753.73,161,2.54,2.99,420.83
HotelTonight (Channel Collect Booking),2026,2,770.5999999999999,2,0.03,0.06,385.3
Hotelnet (Hotel Collect Booking),2026,4,1651.4,6,0.06,0.12,275.23
