date,revenue,room_nights,bookings,active_units_count,contributing_units_count,excluded_units_count,adr,occupancy_pct,revpar,revpar_smoothed,contributing_units_min_14d,contributing_units_max_14d,composition_shift_flag,revpar_percentile,base_tier_id,base_tier_label,tier_id,tier_label,tier_method
2025-01-01,834.0,2.0,2.0,12,12,0,417.0,5.41,242.29166666666666,170.91765873015873,12.0,12.0,False,26.301369863013697,2,Tier 2,2,Low,quantile_fallback
2025-01-02,331.0,1.0,1.0,12,12,0,331.0,2.7,223.5347222222222,163.34201388888889,12.0,12.0,False,18.767123287671232,2,Tier 2,2,Low,quantile_fallback
2025-01-03,713.0,2.0,2.0,12,12,0,356.5,5.41,210.70138888888889,166.04938271604937,12.0,12.0,False,22.73972602739726,2,Tier 2,2,Low,quantile_fallback
2025-01-04,2725.0,6.0,5.0,12,12,0,454.17,16.22,178.25,165.85486111111112,12.0,12.0,False,22.465753424657535,2,Tier 2,2,Low,quantile_fallback
2025-01-05,1641.5,8.0,8.0,12,12,0,205.19,21.62,154.8125,158.79734848484847,12.0,12.0,False,15.479452054794521,1,Tier 1,1,Soft,quantile_fallback
2025-01-06,791.5,3.0,2.0,12,12,0,263.83,8.11,77.85416666666667,154.07233796296296,12.0,12.0,False,13.287671232876713,1,Tier 1,1,Soft,quantile_fallback
2025-01-07,1066.0,4.0,4.0,12,12,0,266.5,10.81,108.97916666666667,148.90918803418802,12.0,12.0,False,10.95890410958904,1,Tier 1,1,Soft,quantile_fallback
2025-01-08,185.5,1.0,1.0,12,12,0,185.5,2.7,110.3125,144.5362103174603,12.0,12.0,False,8.767123287671232,1,Tier 1,1,Soft,quantile_fallback
2025-01-09,185.5,1.0,0.0,12,12,0,185.5,2.7,187.70833333333334,138.35466269841268,12.0,12.0,False,7.534246575342466,1,Tier 1,1,Soft,quantile_fallback
2025-01-10,0.0,0.0,0.0,12,12,0,,0.0,164.10416666666666,135.71428571428572,12.0,12.0,False,6.438356164383562,1,Tier 1,1,Soft,quantile_fallback
2025-01-11,0.0,0.0,0.0,12,12,0,,0.0,88.22222222222223,137.04117063492063,12.0,12.0,False,6.8493150684931505,1,Tier 1,1,Soft,quantile_fallback
2025-01-12,815.0,2.0,2.0,12,12,0,407.5,5.41,102.09722222222221,136.54761904761904,12.0,12.0,False,6.712328767123288,1,Tier 1,1,Soft,quantile_fallback
2025-01-13,274.0,1.0,1.0,12,12,0,274.0,2.7,86.95138888888887,136.15228174603175,12.0,12.0,False,6.575342465753424,1,Tier 1,1,Soft,quantile_fallback
2025-01-14,676.5,3.0,3.0,12,12,0,225.5,8.11,87.6875,134.60714285714286,12.0,12.0,False,5.205479452054795,1,Tier 1,1,Soft,quantile_fallback
2025-01-15,1259.0,5.0,3.0,12,12,0,251.8,13.51,155.75,131.18204365079364,12.0,12.0,False,3.287671232876712,1,Tier 1,1,Soft,quantile_fallback
2025-01-16,596.5,3.0,2.0,12,12,0,198.83,8.11,186.56944444444446,127.56597222222221,12.0,12.0,False,3.1506849315068495,1,Tier 1,1,Soft,quantile_fallback
2025-01-17,0.0,0.0,0.0,12,12,0,,0.0,229.2777777777778,123.94642857142857,12.0,12.0,False,2.6027397260273974,1,Tier 1,1,Soft,quantile_fallback
2025-01-18,0.0,0.0,0.0,12,12,0,,0.0,171.3402777777778,125.65922619047619,12.0,12.0,False,2.8767123287671232,1,Tier 1,1,Soft,quantile_fallback
