month_index,month_name,avg_basis_year_count,revenue,room_nights,adr,bookings,occupancy_pct,revpar,performance_score_1_10,performance_rank_provisional,rank_filter_min_arrival,rank_filter_max_arrival
1,January,1,101578.0,211.0,481.41,113.0,56.72,273.06,5,False,,
2,February,1,107816.0,195.0,552.9,118.0,57.02,315.25,6,False,,
3,March,1,163859.0,287.0,570.94,161.0,77.15,440.48,9,False,,
4,April,1,177416.0,240.0,739.23,134.0,66.67,492.82,10,False,,
5,May,1,99507.0,141.0,705.72,64.0,37.9,267.49,4,False,,
6,June,2,44854.0,75.0,598.05,42.0,20.83,124.59,1,False,,
7,July,2,67278.5,116.5,577.5,64.0,31.32,180.86,3,False,,
8,August,2,55799.5,102.5,544.39,59.0,27.55,150.0,2,False,,
9,September,2,80737.0,152.5,529.42,89.0,42.36,224.27,3,False,,
10,October,2,115612.5,197.5,585.38,110.0,53.09,310.79,6,False,,
11,November,2,133821.0,228.0,586.93,123.0,63.33,371.72,8,False,,
12,December,2,139738.5,256.0,545.85,143.5,68.82,375.64,8,False,,
